arm,studies,best,bias_percent,mape_aggregate,rmse,spearman
Pareto/NBD,1,real_panel_benchmarks__ParetoNBD__electronics,-63.015675529412576,65.65358811185486,0.3758312855906185,0.29689400272726224
ValendinLSTM,20,real_panel_benchmarks__ValendinLSTM__electronics__r06,31.396864767388735,57.194001609732446,0.37644882855110356,0.034778379445677556
LSTM + ar_bounded32,100,real_panel_lstm_bounded32__LSTM__electronics__r084,-1.561690198293241,36.53156099972412,0.3754141698477015,0.25121411215568334
LSTM + ar_log,100,real_panel_lstm_log__LSTM__electronics__r036,2.3188824965519066,41.37409684699327,0.37555234989351505,0.2898527799657001
LSTM + ar_ratio,100,real_panel_lstm_ratio__LSTM__electronics__r026,14.75092062539959,46.2914792889692,0.37575819045576747,0.3079872440563042
LSTM + ar_bounded32ratio,100,real_panel_lstm_bounded32ratio__LSTM__electronics__r057,8.283981278090376,44.12774375561132,0.3757230062072781,0.29793367805988286
