week_start,actual,Pareto/NBD,LSTM + ar_bounded32,LSTM + ar_log,LSTM + ar_ratio,LSTM + ar_bounded32ratio
2004-02-25,9.0,19.031830183970882,14.52400026191021,11.648000163957441,12.696000222116663,13.246000206796406
2004-03-03,12.0,19.01117489855679,15.604000235442019,13.168000198202169,13.622000211384098,13.836000203154937
2004-03-10,16.0,18.987720010288395,16.270000240532625,15.446000175550541,14.532000219682184,14.564000238431571
2004-03-17,19.0,18.96554240210832,17.600000255973946,17.546000235713976,16.110000215237907,15.408000190276606
2004-03-24,15.0,18.946063057816616,18.586000229697614,19.16600020043547,17.122000246774352,16.708000194281293
2004-03-31,18.0,18.923012310786355,20.160000263480406,21.32200021785679,18.364000218221864,18.45600017835381
2004-04-07,15.0,18.901347143552215,22.362000241642754,23.464000196196086,19.728000230854324,20.802000199211708
2004-04-14,13.0,18.878408701109503,23.472000207519088,25.516000216826747,20.256000245455596,22.748000188032112
2004-04-21,16.0,18.857356898395388,23.938000212423432,26.566000207560084,20.858000203268546,24.356000181753135
2004-04-28,28.0,18.835434823766587,23.55400026892305,26.44000025070267,20.71400019503193,23.938000209396648
2004-05-05,13.0,18.810964666064912,22.092000223463334,25.97600023797708,20.732000246876797,22.89800020889374
2004-05-12,10.0,18.78892601256107,20.40600026142777,24.260000200010783,19.946000224910623,21.106000209227155
2004-05-19,8.0,18.762570804010434,19.224000249523606,22.20600022352296,19.59400021447795,19.680000201333264
2004-05-26,8.0,18.741129769803436,18.286000281805116,20.30600016750391,18.734000235330264,18.550000221235628
2004-06-02,21.0,18.72047910530193,17.55000026803458,18.252000129083136,18.16000021598297,17.55000020610164
2004-06-09,16.0,18.69798532361792,16.58000022475602,17.260000150650704,17.74000020977105,16.838000176707236
2004-06-16,16.0,18.675721666188586,16.076000239234368,16.462000199593568,17.124000190524338,16.930000170832457
2004-06-23,14.0,18.653578026622085,15.418000221485219,15.600000155856797,16.37800020119171,16.460000206716316
2004-06-30,19.0,18.63179786906059,14.560000238707243,15.32600020733659,16.09800019999962,16.60400019912045
2004-07-07,14.0,18.609987804971254,14.320000245468643,14.776000163983523,15.894000180764085,16.544000186026054
2004-07-14,13.0,18.590021350405678,13.62200022907923,14.770000156247956,15.466000178595966,16.920000192476394
2004-07-21,21.0,18.569512354847024,13.264000196475488,14.368000062648177,14.970000168541409,16.7540002209134
2004-07-28,15.0,18.551111568444306,13.202000209828793,14.110000176588041,14.318000205559619,16.232000202173328
2004-08-04,20.0,18.527060729756105,12.514000228373291,14.046000131871521,14.702000188175553,15.816000181715896
2004-08-11,14.0,18.50673920227981,12.540000228909731,14.130000146804349,14.22800017218102,16.112000191118526
2004-08-18,13.0,18.486464320071946,12.246000237762885,14.056000108364938,13.862000225344635,16.10000019380819
2004-08-25,16.0,18.47112491435074,11.884000211488413,13.74600014183667,13.550000218208842,15.718000202672513
2004-09-01,15.0,18.447249449256255,12.00400022207755,13.768000201787768,13.34600016893815,15.702000196091788
2004-09-08,17.0,18.425941527613574,12.19800020847465,14.080000202171473,13.248000209219716,15.208000200102063
2004-09-15,18.0,18.406326455709166,12.178000222658696,14.21400014334355,13.326000220142266,15.21800020127553
2004-09-22,14.0,18.386089693657446,12.418000213103323,14.26600012811829,13.476000221213285,15.098000215832098
2004-09-29,13.0,18.366201864606488,12.316000241553366,14.788000201107899,14.00000020721923,15.610000203363551
2004-10-06,15.0,18.34561335500816,13.318000211613203,14.814000191865453,14.876000244170381,15.756000196561171
2004-10-13,11.0,18.327779072035042,13.824000229593315,15.378000152995773,16.170000257203306,17.036000198917414
2004-10-20,24.0,18.311050638297615,15.454000280937127,16.59400019864548,18.406000234419427,18.336000211071173
2004-10-27,18.0,18.293154051417567,17.014000247698217,18.26800022879611,21.0820002255495,19.912000234005916
2004-11-03,25.0,18.274361525588002,19.522000227123435,20.324000219814433,25.532000232720684,22.366000276524513
2004-11-10,33.0,18.25601744414128,23.718000243417848,23.98000018298621,31.17800019960843,25.224000263726275
2004-11-17,31.0,18.2393672009528,31.822000263025906,31.312000307952932,39.646000250009735,31.146000229520652
2004-11-24,42.0,18.221082330788434,44.20800021453752,45.560000229859654,51.59400028060182,44.12400025781237
2004-12-01,70.0,18.20316585541472,64.94400019408195,70.548000359442,71.78800027561365,69.63000031141556
2004-12-08,84.0,18.18708983524891,90.73800037242464,90.84600032400331,95.7660002759657,98.02800023136652
2004-12-15,69.0,18.16718640764279,81.97600036673239,59.762000200338576,79.5560002711135,73.33200022741212
2004-12-22,29.0,18.149257685433163,27.704000242054377,21.34400022355834,28.726000277092602,27.576000254834
2004-12-29,6.0,18.129326940151838,9.930000223452183,12.684000215260276,10.754000228829632,13.61800022353413
2005-01-05,9.0,18.112214332663022,11.184000240405975,12.97200023150068,9.104000228457114,11.448000210570125
2005-01-12,13.0,18.094568736678866,12.828000236302563,14.216000214451887,10.654000250389755,11.496000229613808
2005-01-19,11.0,18.0738065701707,13.396000248845613,15.56800021487284,11.748000253923186,11.782000233884856
2005-01-26,18.0,18.057534021592165,12.510000250069371,15.378000205382664,12.390000267652745,12.086000221781383
2005-02-02,22.0,18.039286544562735,12.436000258894587,14.214000156847721,11.678000238258342,12.39800022286358
2005-02-09,10.0,18.022615395749916,12.958000247366673,13.4660001499578,11.332000245340119,12.52200023829932
2005-02-16,11.0,18.00312186498582,13.800000261282493,13.856000205036217,11.9300002472009,13.454000231577032
