week_start,actual,Pareto/NBD,ValendinLSTM,LSTM + ar_bounded32,LSTM + ar_log,LSTM + ar_ratio,LSTM + ar_bounded32ratio
2001-01-01,46.0,11.009461608887943,57.64600021205838,48.558000199031056,40.624000168871106,37.792000103276195,42.03400011546907
2001-01-08,54.0,10.98392641816262,27.89400007342916,47.61400012066585,38.888000211212756,38.75600006477904,41.68800001568158
2001-01-15,64.0,10.957587886781544,35.72000013198699,43.34600007720289,38.654000089503796,39.44400009582748,42.08600006531921
2001-01-22,42.0,10.93188183765051,50.95800015516576,41.324000021675566,38.56600008811799,40.92600019276139,41.48000011639665
2001-01-29,40.0,10.90546918864819,43.8720001019537,39.6080000880174,37.81200017407534,41.51800011587326,40.774000164354185
2001-02-05,51.0,10.879049593311128,60.33400018140671,37.282000238541485,36.24200014234518,42.1200001526158,40.59800017601807
2001-02-12,40.0,10.849861904291476,61.81200005672869,33.84599998523478,35.67000010912304,43.22800007835027,41.570000123465405
2001-02-19,37.0,10.820687941615923,54.8160001877695,31.396000084932858,34.45600008824837,42.89600015245375,41.24000004911791
2001-02-26,15.0,10.795887364467449,41.36200012825425,29.57800001953725,32.25400014221665,43.304000119212986,40.05400006100532
2001-03-05,8.0,10.772744340031533,49.690000180155,27.442000118549878,30.60600017057729,42.1180001471657,38.620000078808474
2001-03-12,16.0,10.750796772508517,40.26000012550499,26.20600004610602,29.8580001457594,41.834000064991386,38.58000017353331
2001-03-19,23.0,10.725942007445726,35.36200008168813,25.188000085297936,28.484000097261713,40.15000016172413,37.83600008348
2001-03-26,13.0,10.699621034319474,45.92800016608085,24.00600012415085,27.164000150514738,38.6640001677442,35.90400011651215
2001-04-02,7.0,10.674711677284826,23.778000092832336,22.55000007781197,27.592000090749906,37.84800012223419,35.158000147202955
2001-04-09,23.0,10.649523885801303,15.278000077698348,20.684000054839963,26.582000155700342,35.98400007700545,33.4660001362208
2001-04-16,34.0,10.63006823038225,19.30400007916611,20.242000055732174,25.680000071413787,33.97600014158522,32.43000011844557
2001-04-23,6.0,10.609402679606564,19.43400009116155,19.53000007267107,26.484000147785963,32.36000012164001,31.360000071814248
2001-04-30,24.0,10.59355147800923,26.1080000561196,18.218000105116488,26.264000093564363,31.226000090129638,30.52400010474954
2001-05-07,12.0,10.574369897726132,53.39200018625702,17.484000079333747,26.168000125093357,29.10600015567612,28.786000133026356
2001-05-14,6.0,10.555651795443913,49.486000141128855,17.680000083288146,26.412000117823453,28.738000086741486,28.520000152289832
2001-05-21,24.0,10.536457105516893,18.45200004917566,17.534000101732055,26.196000184863777,27.63600008352656,26.212000093189964
2001-05-28,42.0,10.516871836828377,24.382000114535877,18.880000078584963,25.77200007904318,25.880000080214778,26.084000112488834
2001-06-04,22.0,10.493470252126974,50.03200022689995,20.45800006948408,26.7900001578964,25.36000010138374,25.92400008044202
2001-06-11,35.0,10.47379668579467,31.646000055363366,21.362000133842194,26.286000133026363,24.129999995464424,24.440000100294093
2001-06-18,12.0,10.453570149653805,32.60800014226693,22.330000078072736,25.702000076882513,24.050000095274264,23.146000062115455
2001-06-25,10.0,10.431323246052965,45.530000187456565,22.69000007351857,26.150000096997218,24.010000070789793,23.268000082811305
2001-07-02,59.0,10.407534271578237,32.638000135309966,23.0400000736117,25.962000083178253,22.916000099852646,22.37200009147633
2001-07-09,24.0,10.3865862660579,18.708000086015055,21.88800010643896,25.686000054469304,22.800000084796885,21.91400004900057
2001-07-16,31.0,10.365619526434166,54.364000163972335,21.462000096682427,25.14000016776842,22.61000008578409,21.256000099470803
2001-07-23,16.0,10.341938124957982,32.91600007796657,21.816000139340726,24.322000082116546,22.656000072369316,21.12800007918846
2001-07-30,16.0,10.319456164366343,23.688000067137146,21.09200010914352,24.652000119676785,23.34600005904209,21.220000097760895
2001-08-06,26.0,10.301257405325876,35.31400010874491,20.840000064577875,23.76000012503934,24.270000127609784,21.68200008035634
2001-08-13,21.0,10.280291507719216,43.216000035405116,21.81200008047741,24.410000124480547,22.608000100823084,20.93000006070357
2001-08-20,24.0,10.257771772618415,52.70800014771517,21.810000092023948,23.478000091854454,23.370000048773328,21.502000073669443
2001-08-27,16.0,10.239637431036266,34.96000003814694,21.720000089611826,23.760000090580405,24.214000109350273,21.98200015421022
2001-09-03,28.0,10.222122470177439,22.942000075243378,21.7860000717919,22.776000126963453,23.678000089479575,21.83800011267882
2001-09-10,7.0,10.205963446015017,31.952000064309644,22.338000142713973,23.042000149842323,24.678000106709042,22.474000068847054
2001-09-17,21.0,10.18539055679008,24.29200010001656,22.788000090979004,23.978000105358632,24.856000052066484,23.112000079825485
2001-09-24,14.0,10.169845696804899,16.454000110039452,23.280000119702855,24.402000071480842,26.058000114280695,24.12200014200058
2001-10-01,25.0,10.152590097768085,16.64000005507838,24.766000077128375,23.89000009139997,28.040000082692096,24.42800011695359
2001-10-08,15.0,10.134856222984148,36.04600006621327,25.902000107569584,24.918000107165398,27.562000108417088,25.788000069325754
2001-10-15,14.0,10.119183190873859,18.974000043701345,27.416000067489186,25.470000059111015,28.63200010778379,26.25200010510158
2001-10-22,10.0,10.099291607779339,17.73600011132654,28.00200005411167,25.888000139733748,30.740000098478014,26.996000098762998
2001-10-29,14.0,10.080497559198532,29.714000110747257,29.00800008187067,26.672000070568142,32.63600010564547,28.050000103190506
2001-11-05,15.0,10.060163755497411,17.2180000832304,31.12800008617338,27.892000211169915,32.49000010406594,30.39000009372827
2001-11-12,23.0,10.043349099704646,23.672000082908163,32.96000010194253,29.69000014546324,34.2000001382548,30.98400011612099
2001-11-19,67.0,10.026992883011864,34.48800016194578,35.61600012518461,30.846000108402194,36.74400011170652,32.99000010220331
2001-11-26,41.0,10.009893897202492,42.87600011005994,37.40800014883276,32.452000034507336,37.89200015785168,33.904000123497056
2001-12-03,60.0,9.991607076200426,68.70800019055602,39.646000073989825,33.17600014386696,40.69800015632059,35.228000054368714
2001-12-10,50.0,9.976194848560574,55.29000028781589,41.51800009142604,36.33600016194393,41.56800017273049,37.826000159140634
2001-12-17,73.0,9.960491555090353,64.68600016646084,44.61600016592998,37.40600012941283,44.14600010681893,37.808000095654236
2001-12-24,51.0,9.945826731413995,62.30800017528233,45.39600005932149,39.65800012019459,46.934000134468036,40.568000188097315
