arm,studies,best,bias_percent,mape_aggregate,rmse,spearman
Pareto/NBD,1,real_panel_benchmarks__ParetoNBD__multichannel,6.873160827669416,55.856429918118145,0.05669091872169145,0.1891214502854783
ValendinLSTM,20,real_panel_benchmarks__ValendinLSTM__multichannel__r05,-17.087716411844447,50.8052628220819,0.05686375048217776,-0.013018796593769514
LSTM + ar_bounded32,100,real_panel_lstm_bounded32__LSTM__multichannel__r083,-1.324558277868068,43.61403518756686,0.05683342587750706,0.08891068112020886
LSTM + ar_log,100,real_panel_lstm_log__LSTM__multichannel__r010,9.227195640682407,47.56228102538567,0.056753061274333015,0.182475641664501
LSTM + ar_ratio,100,real_panel_lstm_ratio__LSTM__multichannel__r011,28.306143802769846,57.03245781835861,0.05681221655108447,0.1529268976975205
LSTM + ar_bounded32ratio,100,real_panel_lstm_bounded32ratio__LSTM__multichannel__r020,12.657020735480423,49.37631621417633,0.05681927481353966,0.18293549353767152
