rate,churn,model,auc,share_to_dead,alive_ratio,true_alive_share
10,20,LSTM,0.7833944936744839,0.19063598725212413,0.9521800919554846,0.7218468468468469
10,20,Transformer,0.7063450959090996,0.23860475367591272,1.1858203218730692,0.7218468468468469
10,20,ParetoNBD_MLE,0.9228495455607697,0.06645094898227709,0.7471546837156345,0.7218468468468469
10,20,LSTM,0.7437800304699403,0.2457103589114694,0.5859883995152335,0.7084708470847084
10,20,Transformer,0.6788204617367866,0.2813030699517929,0.9174126922596241,0.7084708470847084
10,20,ParetoNBD_MLE,0.8901441462557131,0.09165692836869246,0.7215017040540702,0.7084708470847084
10,20,LSTM,0.8105352024416,0.2137159932243345,0.6728092589508015,0.6965669988925803
10,20,Transformer,0.6929751778399267,0.2810162235785771,0.676751770362438,0.6965669988925803
10,20,ParetoNBD_MLE,0.9160612953013124,0.07746353539425521,0.732511211500989,0.6965669988925803
10,20,LSTM,0.7521534869979782,0.2153563890051309,0.9964698577511837,0.7015418502202643
10,20,Transformer,0.6734114593893192,0.27868041270982163,0.6458765984787241,0.7015418502202643
10,20,ParetoNBD_MLE,0.8877898590602861,0.09339965116973417,0.7032901379334653,0.7015418502202643
10,20,LSTM,0.7480690743421209,0.21055312691009487,0.8188228782167336,0.7012263099219621
10,20,Transformer,0.645632133450395,0.2865066649913596,0.8947431902850778,0.7012263099219621
10,20,ParetoNBD_MLE,0.9063575208219633,0.07895751141357076,0.7531092786781586,0.7012263099219621
10,20,LSTM,0.7718803591844512,0.2291387481917341,0.4999475041873674,0.7192982456140351
10,20,Transformer,0.6535019293064024,0.26988766910125084,0.5442593104459957,0.7192982456140351
10,20,ParetoNBD_MLE,0.8787692930640244,0.08952158801398435,0.7337229376115251,0.7192982456140351
10,20,LSTM,0.8074785199722373,0.19049066320327473,0.6573096449599483,0.7214912280701754
10,20,Transformer,0.6613754397721562,0.26489042812423585,0.9839722828751069,0.7214912280701754
10,20,ParetoNBD_MLE,0.9040219706579231,0.07621300901903688,0.7733794504886337,0.7214912280701754
10,20,LSTM,0.7532152419200613,0.1933641608408359,0.6944363457881935,0.7248908296943232
10,20,Transformer,0.70460413080895,0.25180815128876194,0.6971004901828283,0.7248908296943232
10,20,ParetoNBD_MLE,0.888025315547906,0.08631137533810428,0.7154627908080383,0.7248908296943232
10,20,LSTM,0.7746083766963109,0.24301463896620873,0.5431118582063419,0.6822125813449024
10,20,Transformer,0.6013635599060212,0.31191848385825366,0.5787837149577117,0.6822125813449024
10,20,ParetoNBD_MLE,0.8919922733414001,0.09531651154007952,0.7220307335794938,0.6822125813449024
10,20,LSTM,0.7838890502468777,0.24724818014206562,0.7760278670597748,0.6947835738068813
10,20,Transformer,0.6468022073772872,0.29858869201011773,1.0197719635517535,0.6947835738068813
10,20,ParetoNBD_MLE,0.8979872204472843,0.08705039429871006,0.7496921475649649,0.6947835738068813
10,40,LSTM,0.7888520971302428,0.4575765850794273,0.5671762994528688,0.4561824729891957
10,40,Transformer,0.729467294062972,0.43622705208277013,0.768977237203057,0.4561824729891957
