week_start,actual,LSTM + ar_bounded32,LSTM + ar_log,LSTM + ar_ratio,LSTM + ar_bounded32ratio
2008-01-01,4.0,5.642000154824907,5.30800013453698,5.024000129429607,5.100000126752985
2008-01-08,3.0,5.554000151809284,5.0120001051109115,4.678000114858134,4.788000114494917
2008-01-15,0.0,5.2740001513156844,5.128000108525141,4.790000124135968,4.902000128990023
2008-01-22,2.0,4.860000137006844,4.954000107245503,4.542000115616231,4.588000111281854
2008-01-29,6.0,4.564000127371384,4.55200010980478,4.278000114019945,4.306000112090246
2008-02-05,5.0,4.3740001220721565,4.262000102084118,4.232000116957337,4.3840001139324
2008-02-12,2.0,4.094000123906865,4.186000109184521,3.9140001034829623,4.014000115217627
2008-02-19,2.0,3.8520001263823223,4.142000092193472,3.9020001085009275,3.992000118596466
2008-02-26,2.0,3.6040001227520277,3.786000090418372,3.768000112147989,3.864000107627348
2008-03-04,0.0,3.4340001153759534,3.680000082356844,3.620000097900615,3.4960001020226508
2008-03-11,5.0,3.372000116622064,3.578000088455145,3.2300000949762646,3.5060001031961168
2008-03-18,2.0,3.1420001066289736,3.4540000907145347,3.254000103333953,3.4080001101828996
2008-03-25,4.0,2.958000106969838,3.186000080546355,3.146000108914439,3.172000099439163
2008-04-01,2.0,2.9120001080445848,3.278000084217629,2.8300000892486326,2.966000103624528
2008-04-08,0.0,2.8480001045390866,3.258000067435195,2.6300000867340625,2.912000093841914
2008-04-15,2.0,2.736000106204293,3.0420000574085777,2.6380000850185654,2.696000090101725
2008-04-22,1.0,2.7780001026112493,2.822000067215405,2.5660000920761292,2.6360000867862166
2008-04-29,5.0,2.7340001028496683,2.750000075669952,2.460000086342908,2.708000090904524
2008-05-06,3.0,2.670000098645678,2.738000075099983,2.372000086819745,2.6500000860541966
2008-05-13,3.0,2.6360001016873778,2.798000066075465,2.246000083396204,2.410000085132189
2008-05-20,3.0,2.626000101910896,2.7820000643841842,2.096000079764047,2.3720000833272854
2008-05-27,4.0,2.7860001074150116,2.7740000626072203,2.1780000790022234,2.3300000813323924
2008-06-03,1.0,2.706000103149554,2.778000063030041,2.170000085374334,2.3540000852662994
2008-06-10,6.0,2.534000099170945,2.8540000577922826,2.068000077502796,2.4480000857729385
2008-06-17,5.0,2.4460000956896617,2.8220000707078645,2.2640000889077716,2.4360000900924135
2008-06-24,2.0,2.3040000894106853,2.7860000757500445,2.1740000827703563,2.2820000839419587
2008-07-01,3.0,2.30200008582323,2.816000072052694,2.2220000813249428,2.4640000865328973
2008-07-08,3.0,2.3160000874195172,2.796000061556688,2.3760000851470897,2.5040000905282707
2008-07-15,2.0,2.2940000889357113,2.844000064535058,2.252000082284204,2.60600009514018
2008-07-22,3.0,2.2800000887364087,2.8540000692009846,2.3760000867769047,2.7440001000650134
2008-07-29,3.0,2.4940000949427406,2.9360000696033155,2.528000090271226,2.750000094994893
2008-08-05,2.0,2.472000091103829,2.8460000632330686,2.686000093584871,3.0360001043882114
2008-08-12,5.0,2.62400009809061,3.0740000749938106,2.6040000948123554,3.0820000960957143
2008-08-19,1.0,2.558000100310884,3.0580000777263106,2.976000102469687,3.1300001044291896
2008-08-26,5.0,2.6860001010354524,3.128000075230365,3.2260001050308222,3.2600001064129054
2008-09-02,1.0,2.6800001047085886,3.178000068292011,3.0800001036841307,3.4540001058485226
2008-09-09,3.0,2.9160001063719294,3.430000089341765,3.1600001081824187,3.716000111540765
2008-09-16,1.0,3.0580001082271226,3.6620000812690594,3.4400001142639547,3.8340001215692467
2008-09-23,1.0,3.106000118656074,3.6140000903978837,3.682000115746618,4.126000120071678
2008-09-30,4.0,3.0980001145508043,3.7700000852346305,3.7500001103617095,4.348000129451958
2008-10-07,1.0,3.3300001188181225,3.978000089991825,3.854000118561074,4.378000130178391
2008-10-14,1.0,3.6180001245811457,3.984000094002101,4.238000130979328,4.608000124571827
2008-10-21,1.0,3.952000127872436,4.244000103091808,4.296000134432672,4.826000129803996
2008-10-28,6.0,4.858000151813009,4.424000102793784,4.306000135838969,5.042000130750218
2008-11-04,6.0,5.530000158119923,4.572000112617374,4.586000135866907,5.246000139042714
2008-11-11,5.0,6.0360001672524675,4.634000110439942,4.736000142060202,5.136000139405931
2008-11-18,6.0,6.402000166941404,5.048000117763861,4.728000137023608,5.320000143256017
2008-11-25,8.0,6.404000173322827,5.100000110920502,4.900000132853145,5.358000138541663
2008-12-02,6.0,6.680000168736992,5.154000119306131,5.0320001423824365,5.596000138670184
2008-12-09,14.0,6.210000160848692,5.112000120105205,4.960000147577356,5.272000138182172
2008-12-16,4.0,6.072000171057853,5.168000114848821,4.8800001328345175,5.358000138541662
2008-12-23,4.0,5.880000170320248,5.032000118400886,4.7480001458898,5.206000142963582
