week_start,actual,Pareto/NBD,ValendinLSTM,LSTM + ar_bounded32,LSTM + ar_log,LSTM + ar_ratio,LSTM + ar_bounded32ratio
2007-01-01,3.0,4.995408167227685,2.9500001161359153,5.2520001484080945,6.580000146990619,6.202000158373241,6.5640001525170835
2007-01-08,3.0,4.980517208917415,2.6240001041442076,5.004000141518171,6.59400014975106,6.078000154113372,6.610000139102313
2007-01-15,2.0,4.966251462673759,1.8040000784676478,4.894000137923266,6.438000146765237,6.266000152099851,6.550000139046434
2007-01-22,2.0,4.95303162903011,2.522000101162113,4.79600014537571,6.306000144453696,6.092000149656061,6.620000148890516
2007-01-29,3.0,4.9397407443673,3.462000128347414,4.4200001421850015,6.170000136597059,6.3020001535769286,6.422000162536253
2007-02-05,9.0,4.926911208426102,4.742000151891242,4.308000133838487,5.876000142656245,6.220000153174599,6.3060001484118136
2007-02-12,0.0,4.9158633442102015,4.608000152977164,4.108000136911852,5.736000133678296,6.480000154115232,6.040000143228074
2007-02-19,7.0,4.905284050755604,6.770000177901206,3.994000132661297,5.398000130662675,6.218000150285636,5.966000138781938
2007-02-26,6.0,4.893284936191512,5.8700001619290285,3.8680001364555063,5.202000138116982,6.406000151531746,5.822000152897066
2007-03-05,6.0,4.879678560661294,4.90800014999693,3.7520001288503266,4.922000121790896,6.516000156057972,5.658000141149364
2007-03-12,6.0,4.866188663759574,4.194000142859278,3.5800001304596534,4.562000120291469,6.46600015019064,5.64600014616733
2007-03-19,3.0,4.851313014056668,5.0220001554116385,3.366000122390675,4.412000111537038,6.352000151993682,5.358000146690734
2007-03-26,3.0,4.839319210360886,5.374000162817515,3.2940001236274723,4.292000116780385,5.998000150779239,5.224000142421552
2007-04-02,6.0,4.826354123559667,6.800000179093299,3.054000119911497,3.960000119870515,6.092000150121721,4.946000143652762
2007-04-09,2.0,4.814488770206235,6.476000166265262,2.840000108117228,3.7860001036897177,5.786000140011286,4.8160001349169566
2007-04-16,3.0,4.8036737895236525,4.87600015476344,2.7820001104846517,3.7380001090932513,5.722000145120523,4.610000137006846
2007-04-23,1.0,4.789965115733857,4.570000151405092,2.878000110853454,3.464000105625008,5.642000151565276,4.332000124035385
2007-04-30,3.0,4.778713749709072,4.776000149315202,2.768000103533258,3.2180000883526994,5.488000150304265,4.22200012393294
2007-05-07,2.0,4.767008204750827,3.958000145619722,2.672000102698794,3.3220000944565866,5.308000145247185,3.896000120788797
2007-05-14,3.0,4.755019374962039,3.936000138055518,2.634000103455029,3.288000095868472,5.206000144593396,3.7180001249071073
2007-05-21,5.0,4.742671273311924,4.892000151099616,2.842000114964313,3.206000098260109,4.896000143839027,3.654000122798593
2007-05-28,6.0,4.730555197458012,3.2720001209527134,3.0160001139156414,3.166000092634921,5.1700001419521655,3.4840001168195034
2007-06-04,0.0,4.718839079137288,3.254000118467945,2.9800001131370566,3.14400008879601,4.86800014344042,3.388000113889562
2007-06-11,3.0,4.707512815277403,2.4640000991057533,3.2160001189913485,3.126000077929337,4.980000138981247,3.1700001137796674
2007-06-18,2.0,4.695081928078333,2.98400011472403,3.302000124473113,3.128000087104728,4.710000147577356,3.320000117877486
2007-06-25,3.0,4.680890071436409,2.574000101769335,3.27400011802091,3.142000082181756,4.774000139441322,3.162000114331011
2007-07-02,1.0,4.667152992287504,2.572000104235477,3.5060001288074876,3.2800000938586784,4.6800001419614805,3.304000115254881
2007-07-09,4.0,4.654258222773644,3.358000122243526,3.388000122737127,3.150000093970437,4.640000142622721,3.276000118581566
2007-07-16,2.0,4.643258383405641,2.990000118501475,3.4420001225080212,3.436000092886377,4.7020001462660534,3.3400001183617736
2007-07-23,3.0,4.631563081792159,3.098000112222496,3.6740001295693077,3.4020000849850374,4.654000140028055,3.3340001183096195
2007-07-30,5.0,4.621591275456737,2.918000113451844,3.650000129593522,3.742000100901339,4.678000141167994,3.4420001218095297
2007-08-06,4.0,4.61169250564908,3.7680001340340676,3.832000135211259,3.7040000911801942,4.820000140927711,3.6380001243669406
2007-08-13,4.0,4.601263880211603,3.9380001327954077,3.67400012677534,3.93200009036808,4.738000140991042,3.9240001367870576
2007-08-20,4.0,4.591063197889369,3.3120001221541195,3.932000137167036,3.9800000994000455,4.784000148298198,3.868000131100401
2007-08-27,3.0,4.5822466753866,3.1480001173913363,4.0340001380536545,4.198000102071079,4.864000147441382,4.146000137552603
2007-09-03,3.0,4.571910578827489,3.610000130487592,4.1920001418329615,4.366000098409117,4.964000148233005,4.246000139508379
2007-09-10,4.0,4.561866517550168,3.252000118605781,4.2440001426730145,4.746000114595503,5.010000155307331,4.164000133518112
