rate,churn,LSTM,Transformer,ParetoNBD_MLE
10,20,0.2434770632354409,0.29799787648547876,0.12157807465683708
10,20,0.30643470244985344,0.3489577913347103,0.1397067588315413
10,20,0.26750786757181194,0.342665875638583,0.12784881389959465
10,20,0.2821583656359997,0.353976865703702,0.15773678123732884
10,20,0.2790246681507879,0.3664497533129828,0.1510399819613471
10,20,0.28954635964830194,0.3358363294946124,0.13819768709395686
10,20,0.2673631230591235,0.35379486133801424,0.1509167998981914
10,20,0.24186685856415255,0.3152647895164162,0.12839929730711055
10,20,0.31153559582410023,0.39031815136503756,0.15654012255864844
10,20,0.31007327458708833,0.36879383014503964,0.14322713487350816
10,40,0.5183073153920594,0.49444078407779624,0.2191258490901723
10,40,0.5667264489949092,0.5717031823136851,0.1957110430073743
10,40,0.46778530043135963,0.5714659951194855,0.22352166849537272
10,40,0.5522704933564384,0.5150998503882461,0.21054102825122825
10,40,0.46887607995478836,0.5904260130243321,0.19328002238330008
10,40,0.48579448356818766,0.5521214368940568,0.2131666209563851
10,40,0.4269436651982877,0.5390412421408133,0.17035974195478176
10,40,0.5324710529177681,0.5747450106722067,0.18568652105010255
10,40,0.46366597966633455,0.5913284158733876,0.2016673625947938
10,40,0.42503826622909024,0.5023375600550268,0.1957213820159474
10,60,0.6446631359483255,0.5712011042840658,0.2412735693889601
10,60,0.6247622844196042,0.6680664222928815,0.20234865793334997
10,60,0.6466333264866283,0.5922074282377948,0.2576382319998653
10,60,0.6197366849555552,0.623741245366329,0.24218891265261974
10,60,0.6423547052487518,0.7480820382724763,0.260957850307507
10,60,0.6737408017904376,0.6671397676761066,0.27593490040422614
10,60,0.637165753697951,0.6891196507158517,0.23538258924772024
10,60,0.6451832559240929,0.6082147725530926,0.3317864683559191
10,60,0.6399195727003505,0.615870676153466,0.2756896455367022
10,60,0.6199427194868351,0.5629570000863718,0.20584217830743576
10,80,0.756413503053982,0.8030509045323604,0.3196564266153911
10,80,0.7987222586719498,0.7469057235978765,0.27225784108398104
10,80,0.8693252021454798,0.8548136571680273,0.31897098736488916
10,80,0.7886981386882257,0.7993855596026972,0.2907874019450827
10,80,0.7719208376038629,0.7734868165783947,0.2515634440607703
10,80,0.8311833446891841,0.7700574454120662,0.3140071134419857
10,80,0.7166340988009109,0.7055925316963866,0.3095571585262626
10,80,0.860117957512346,0.8457630745999036,0.29663312758135635
10,80,0.8751017000842414,0.9027228807900786,0.41618955443736877
10,80,0.8906468453399267,0.6826591818352363,0.22027385087835283
1,20,0.6826068556825403,0.6805595755104222,0.6382835219543385
1,20,0.6853439263748566,0.6782923964987296,0.6455829764244799
1,20,0.6482753081885266,0.6500029047872131,0.6276359266434928
1,20,0.7011833124815191,0.7005214577113802,0.6574680790810291
1,20,0.6806353084369253,0.6786820859131564,0.6331451533865315
1,20,0.676435235515035,0.6792032441217598,0.646102555010729
1,20,0.6979961831982128,0.6948749621682105,0.6581483431775593
1,20,0.650219886341762,0.6505783237120425,0.5952169218698002
1,20,0.7126497801087106,0.7149667972883148,0.6880775191069685
1,20,0.6676776836830104,0.6694423925488866,0.6303004572055545
1,40,0.766702844727292,0.7729321925564736,0.6932692169004875
1,40,0.782781158499371,0.7717041800598519,0.7069879871502746
1,40,0.7914166161812799,0.7975889268999377,0.7311642526485795
1,40,0.7606517229295122,0.7558977256541445,0.7149318538760905
1,40,0.7574864627150772,0.7525471218211687,0.6524868219218801
1,40,0.7891101064236065,0.7845013892912365,0.7444209621482717
1,40,0.7701733269127621,0.7721464154077385,0.708865261610063
1,40,0.827046010572646,0.8245075195542406,0.7592409785213646
1,40,0.8007137414986834,0.7978617688876075,0.7561803887510365
1,40,0.7583101609785923,0.7576312177369432,0.67121550883094
1,60,0.8672645739812929,0.8591100851457197,0.7552106271517632
1,60,0.8811566131960262,0.8812240205141617,0.7409279546771564
1,60,0.848177735337282,0.8409338585762237,0.7670684591343521
1,60,0.8316818057311608,0.8205453391779698,0.764094336936411
1,60,0.840716409106432,0.8467014237463663,0.7357320422661355
1,60,0.8538286298570993,0.8511654206952798,0.8051693966291114
1,60,0.8728999721476586,0.8632027602417333,0.7911329179570048
1,60,0.851136264458682,0.8545094455054993,0.802534922773044
1,60,0.8692715870160257,0.8634637609266391,0.7874300767750233
1,60,0.8615117112164745,0.8617630371546985,0.764150889290964
1,80,0.928934526201625,0.9257667286023261,0.8312073030598882
1,80,0.897487502454024,0.9059061958452862,0.74175082598955
1,80,0.9461913197675283,0.9481693868676501,0.8466031005831545
1,80,0.9477089520617155,0.9444609444363483,0.93688703647214
1,80,0.908789002209876,0.9101664602915843,0.8583028327128555
1,80,0.8845515367434994,0.8832135198779335,0.709354537455095
1,80,0.8879590307344073,0.8910831837722696,0.8024576045968029
