week_start,actual,Pareto/NBD,ValendinLSTM,LSTM + ar_bounded32,LSTM + ar_log,LSTM + ar_ratio,LSTM + ar_bounded32ratio
1997-09-30,51.0,49.867400559141785,41.25800016848363,60.34400032740077,49.77800031355574,54.952000354416576,53.808000192278925
1997-10-07,62.0,49.22640837923514,53.37000037753015,59.90600005770093,49.29800023278214,54.448000360047345,53.50600040797137
1997-10-14,44.0,48.57943569041009,35.25800028606311,59.4400002125184,49.55200030282131,53.39600029378188,54.2200002879835
1997-10-21,63.0,47.95453454085263,48.66200024099081,58.34400032041585,49.06600027671075,53.764000355731596,54.434000386623595
1997-10-28,49.0,47.376001738694306,55.26600039284668,56.89200022327704,50.004000402055595,53.58800029219118,54.11800020514049
1997-11-04,81.0,46.771939875584984,40.704000256257046,55.68600023724129,50.53800024185321,52.61400034581301,54.450000355020094
1997-11-11,57.0,46.17585213939959,48.53600036562411,54.454000315628846,50.822000362677414,51.300000328803335,53.92000028071918
1997-11-18,60.0,45.6321621828133,48.13000030070533,53.87400020379563,50.87800028896882,52.12800028757182,53.56400041305453
1997-11-25,48.0,45.12557475814042,39.296000301139344,53.544000294059416,52.33600021596058,50.98800033307624,53.00200042128556
1997-12-02,66.0,44.621076525339774,65.33600042015306,52.108000196749245,52.562000284902666,50.504000226268445,52.54400031734251
1997-12-09,70.0,44.12687954053639,53.35600030119521,51.03600029833605,52.72200036933637,50.37200024398034,51.886000321479436
1997-12-16,51.0,43.62056546391466,47.43000027630468,50.30400019674552,52.90000036288976,49.25200030580153,51.22000049892805
1997-12-23,42.0,43.13971745349509,56.72200017445711,48.80000020633442,52.62800034950479,48.782000267645245,49.76000031828873
1997-12-30,46.0,42.678370687687234,43.980000282404845,48.720000225584855,53.050000355811704,48.68000029446547,50.224000241374526
1998-01-06,42.0,42.190189483757266,35.03000021819017,48.58400028734458,53.12800032505758,47.560000298544665,49.348000364843685
1998-01-13,53.0,41.77846333645492,49.82600028673177,47.19200023007569,53.35600012587375,47.24600035115135,48.76800036174238
1998-01-20,28.0,41.3705862188088,50.15400030789887,46.152000239817326,53.366000344743874,46.85800027032373,47.954000366385955
1998-01-27,47.0,40.96172334579529,42.73800025926893,45.46000025398088,53.656000272137966,46.800000343006005,46.670000372687284
1998-02-03,40.0,40.557593236602116,48.81600023666387,44.92200024239709,53.184000278357345,46.62400029972186,45.97800029674538
1998-02-10,46.0,40.15790668684171,42.46400028443885,44.538000280735915,52.430000278400186,45.132000209530716,45.74000033829354
1998-02-17,43.0,39.78314790966755,47.60800025193011,43.670000221580175,52.428000319050554,44.27200024528419,44.23200038052157
1998-02-24,65.0,39.43032304304114,45.95400031749149,42.65800026897331,52.49000023421824,43.89400028879744,43.25400045653798
1998-03-03,79.0,39.088496281905066,39.26600032672276,42.81800024351095,52.50200036889867,43.170000282348965,42.44400034309358
1998-03-10,50.0,38.73904750031011,46.12200019112778,41.56000024685626,52.50400042836547,42.55400030058799,41.21400038618587
1998-03-17,59.0,38.39403168796643,57.858000311301936,41.494000263744866,52.17800018447444,41.81800023512905,41.022000385215435
1998-03-24,58.0,38.03310733637988,44.398000275716086,41.172000247519364,53.35600026696914,41.67000027373423,39.94200027035542
1998-03-31,35.0,37.69798180022542,34.178000329993566,41.712000304600124,52.56200027768493,41.56200029142191,38.992000327212665
1998-04-07,36.0,37.37160931208595,41.35400023683896,41.610000274842506,52.60800037463189,40.872000312898216,38.246000258950446
1998-04-14,47.0,37.06496086589534,34.36400028690686,42.68000027677034,52.6420003336388,41.03600031323721,37.17000030190677
1998-04-21,29.0,36.75045291646845,34.024000292178144,42.94400024227788,52.93200031900771,41.290000282926385,36.808000333839956
1998-04-28,44.0,36.4425936583389,33.17800029949275,41.4020003429613,52.51600039051839,41.43400031188493,35.61600030190304
1998-05-05,42.0,36.15563800556891,28.674000328173765,39.63000024179918,53.45000031334341,40.63800024916408,35.706000281264934
1998-05-12,35.0,35.87642025935261,36.34600028162812,38.10000032023517,52.41600029519752,41.06600025482466,35.010000283364135
1998-05-19,29.0,35.60901328864452,32.00400034175245,36.67200023145405,53.568000285187665,41.29200036870306,35.1480003204196
1998-05-26,42.0,35.35222552535938,34.18200028012497,36.26600029785176,53.406000203918595,41.12200023280447,34.256000330205936
1998-06-02,48.0,35.0799349189948,22.220000274479304,35.78600026969788,53.170000365469534,41.7660002510528,34.64800029597238
1998-06-09,48.0,34.79683077387591,30.23200030485158,35.386000299360504,53.736000342760164,41.73400030937036,34.418000312987644
1998-06-16,32.0,34.53741809682671,54.97400024323716,35.7720003107096,53.9600003298837,42.50000024819737,34.726000293623585
1998-06-23,28.0,34.269681251112516,49.01400023885063,36.160000286996265,54.00000035949044,42.616000273730506,34.97800025809549
