arm,studies,best,bias_percent,mape_aggregate,rmse,spearman
Pareto/NBD,1,real_panel_benchmarks__ParetoNBD__gift,-9.856106630935601,43.134343058600194,0.10656556117357877,0.38277713901722915
ValendinLSTM,20,real_panel_benchmarks__ValendinLSTM__gift__r11,-16.45898672973153,24.757416705994313,0.1063290662429006,0.3664317190685101
LSTM + ar_bounded32,100,real_panel_lstm_bounded32__LSTM__gift__r062,-6.393367100107484,23.856544351070372,0.106603539133325,0.332520514092566
LSTM + ar_log,100,real_panel_lstm_log__LSTM__gift__r073,-5.287258999128243,21.23176254198789,0.1063155897553756,0.3732871372857724
LSTM + ar_ratio,100,real_panel_lstm_ratio__LSTM__gift__r070,-9.349911641264791,24.57539247089665,0.10649726277244806,0.39226253798573263
LSTM + ar_bounded32ratio,100,real_panel_lstm_bounded32ratio__LSTM__gift__r069,-13.283768587788233,23.775217697848483,0.1064141957163239,0.37875008574542174
