week_start,actual,Pareto/NBD,LSTM + ar_bounded32,LSTM + ar_log,LSTM + ar_ratio,LSTM + ar_bounded32ratio
2002-01-01,43.0,10.753305287952184,47.636000151513116,44.99000024585982,59.424000130500616,52.38400001404804
2002-01-08,39.0,10.738382954514272,44.73400018014942,42.74200020078567,54.68200010992584,51.95000013615933
2002-01-15,40.0,10.724091079476917,40.24200014374216,41.93400018778627,51.36400012392548,49.082000171067165
2002-01-22,37.0,10.707927974934936,36.52200014772822,39.604000141378464,46.75600006734018,46.986000077798934
2002-01-29,38.0,10.691469347113514,33.594000121112884,36.704000060679355,42.63600007258352,45.0680000982247
2002-02-05,12.0,10.675012712864564,30.810000136494605,34.67400003713553,39.27600015536879,41.27800016407852
2002-02-12,37.0,10.661504460114072,27.73200008040291,32.19000016921197,35.5760001230519,38.47400006791574
2002-02-19,30.0,10.643901953848598,26.518000072333933,29.90000007604246,32.338000071002135,35.34600012400185
2002-02-26,17.0,10.625269928589358,24.782000146573377,28.094000114593626,29.288000152213467,32.8780001052655
2002-03-05,52.0,10.608914994794535,25.15400005411354,24.728000075090648,27.794000122928956,31.17200008220967
2002-03-12,29.0,10.590440272236224,25.132000104989828,23.98200007970442,24.97200006945055,29.27000011596825
2002-03-19,31.0,10.568465850884637,24.406000096118046,22.27200013748367,23.76000012340952,27.59400012716648
2002-03-26,9.0,10.550983873583105,24.434000113746123,20.87400009809059,22.940000099129946,26.820000099716673
2002-04-02,21.0,10.533338554284104,24.130000097909907,20.026000085286768,22.04000009689477,25.638000079430608
2002-04-09,9.0,10.515521889618176,23.834000097354846,18.79600008437407,21.054000096395583,25.22400009050031
2002-04-16,18.0,10.50147820460661,24.602000100538103,18.916000096127362,20.712000084808064,24.732000104617295
2002-04-23,26.0,10.487672270768854,25.09200007165779,18.032000081846462,20.162000095471708,24.050000126473577
2002-04-30,24.0,10.475541783878104,24.676000132691087,18.088000025832997,20.212000093422795,24.140000100014703
2002-05-07,26.0,10.462749212048891,25.514000078430364,18.236000097123878,19.65000009816137,24.01800010539588
2002-05-14,14.0,10.449536827684984,25.11400015396063,18.642000040272222,20.322000100975828,23.8420000877231
2002-05-21,49.0,10.434801551361911,25.63200007961128,19.04400012572293,19.84200011333448,24.326000129105488
2002-05-28,24.0,10.419273776935098,25.184000150533357,18.93600009311919,20.658000085968492,24.072000064887078
2002-06-04,15.0,10.403905450927457,25.46000018133779,19.91800010483709,20.524000145727737,24.72400009678674
2002-06-11,16.0,10.388094623053647,25.47400008863766,20.07400008151305,21.25800013798286,23.74600009107959
2002-06-18,18.0,10.374458350868348,25.528000077465517,21.114000110654132,22.194000110728634,24.11000012769361
2002-06-25,37.0,10.358575047610511,24.6120001163799,22.480000107549102,22.246000062907083,23.480000129435183
2002-07-02,27.0,10.344135037353896,25.216000127606062,22.380000091623486,23.276000052457643,23.83000009553504
2002-07-09,9.0,10.332433136936418,24.758000126341326,23.654000030131982,23.832000071415642,24.494000096572535
2002-07-16,23.0,10.319372429950924,25.386000115657197,23.83800012292337,24.612000116147073,24.42400008835827
2002-07-23,9.0,10.305488697880286,25.652000091038612,23.624000082490937,25.350000103702737,23.59400008874942
2002-07-30,25.0,10.290591717429429,25.042000148910994,24.134000082965912,24.764000098220976,22.828000094508724
2002-08-06,21.0,10.276750308656673,24.0620000993367,23.622000082395942,24.724000017158655,23.52400003885847
2002-08-13,35.0,10.261855816460338,24.76200016448271,23.068000045372145,24.502000080654366,23.678000124869836
2002-08-20,41.0,10.24689223895488,24.090000098338322,22.796000151196466,23.56600008765232,22.922000113176153
2002-08-27,27.0,10.23532262334008,23.726000075461315,22.22800016240214,23.168000130448462,22.226000090828137
2002-09-03,13.0,10.22429996820664,23.110000099521102,22.756000123452367,20.652000105706946,22.736000147880954
2002-09-10,34.0,10.211334502638284,22.652000102680148,22.104000098537625,20.42400009580885,22.964000056032063
2002-09-17,16.0,10.200825584682882,21.582000103313444,21.66400014725511,18.734000080265076,22.962000089697508
2002-09-24,14.0,10.190986987142342,21.580000093672393,21.740000074729295,17.596000122372033,23.152000094763906
2002-10-01,27.0,10.179008998405827,21.548000058159204,22.860000113956602,17.468000110238762,23.212000057334052
2002-10-08,20.0,10.16698494172156,20.97800007532348,22.656000124290557,16.672000119928242,23.32400011084971
2002-10-15,45.0,10.152072099046578,21.05200003157367,23.12800002261062,17.400000164052443,25.000000098021665
2002-10-22,44.0,10.141876520879764,21.314000101992832,25.114000079920487,18.2220000773668,26.916000102879448
2002-10-29,25.0,10.13144259931714,22.394000088795988,26.54800004535352,19.660000152420224,27.292000102577695
2002-11-05,10.0,10.119091572320066,22.86200009426099,28.828000120585756,22.742000124417213,29.074000129941822
2002-11-12,14.0,10.105157150543459,26.28400010219772,31.576000021537737,26.104000116698412,32.23200006410477
2002-11-19,33.0,10.090952486189714,33.516000127186956,34.24400014500131,33.40000021248122,36.15200010407713
2002-11-26,66.0,10.078347341271503,41.87000017031092,37.79800008260642,41.20000019297,42.62000017659736
2002-12-03,29.0,10.066642216249395,49.342000129166955,40.54800009704192,51.04800013988276,49.564000135287614
2002-12-10,60.0,10.055218686274792,52.04200013726947,44.3800001107156,60.410000213887514,56.424000194994704
2002-12-17,68.0,10.041617312481094,52.08600028697398,46.034000226063625,66.8880001818761,60.052000185707556
2002-12-24,95.0,10.028258556597512,51.13400023197751,46.492000008234726,69.05000023357567,62.11000017402691
