arm,studies,best,bias_percent,mape_aggregate,rmse,spearman
Pareto/NBD,1,real_panel_benchmarks__ParetoNBD__cdnow,-15.969113653006598,21.029810118208648,0.14547493834889533,0.4503093010593464
ValendinLSTM,20,real_panel_benchmarks__ValendinLSTM__cdnow__r17,-10.69751920052,22.86448521616982,0.1460032975317959,0.38464467471371333
LSTM + ar_bounded32,100,real_panel_lstm_bounded32__LSTM__cdnow__r072,-5.129709232618394,18.537414187914408,0.14696727111528898,0.26397712984861166
LSTM + ar_log,100,real_panel_lstm_log__LSTM__cdnow__r012,7.740264484280266,24.07905040244938,0.1467202476373062,0.4456126485071719
LSTM + ar_ratio,100,real_panel_lstm_ratio__LSTM__cdnow__r050,-4.9449070507667345,18.65445902777499,0.1458038745579522,0.45943604872585525
LSTM + ar_bounded32ratio,100,real_panel_lstm_bounded32ratio__LSTM__cdnow__r087,-8.024062645390755,18.554089626845347,0.1456548698280908,0.43474163920757414
