arm,studies,best,bias_percent,mape_aggregate,rmse,spearman
LSTM + ar_bounded32,100,real_panel_lstm_bounded32_cal3y__LSTM__gift__r099,2.3319242866438117,21.66346162423274,0.0999838650005306,0.4223603908575984
LSTM + ar_log,100,real_panel_lstm_log_cal3y__LSTM__gift__r055,5.974231741632689,21.791154118926347,0.09973949393199005,0.4228807656192121
LSTM + ar_ratio,100,real_panel_lstm_ratio_cal3y__LSTM__gift__r008,6.4234626630112555,19.604615671179502,0.09972076098457751,0.43427688155805744
LSTM + ar_bounded32ratio,100,real_panel_lstm_bounded32ratio_cal3y__LSTM__gift__r069,7.594231834876662,19.73076951913886,0.0998843915112752,0.43708525216272714
