rate,churn,LSTM,Transformer,ParetoNBD_MLE
10,20,0.9352314450765687,0.5363964089753308,0.03662199023545082
10,20,0.8424227715354702,0.3284191810792277,-0.08134948911129099
10,20,0.8757524694177641,0.617963218817006,-0.10779758919678187
10,20,0.9296733531985981,0.6009332417030557,-0.08419377115068744
10,20,0.7842253748720649,0.4313152389173863,-0.09531103260913705
10,20,0.862250677195421,0.5386672236231678,0.03135903009780389
10,20,0.8930049343827101,0.5110321542380448,-0.0598622131441075
10,20,0.8694309270763614,0.5393434665023273,-0.05335941269145654
10,20,0.8542708143764217,0.5515653424939849,-0.12261437924925357
10,20,0.8646446568386106,0.6260567151182101,-0.13025498026862545
10,40,0.8009404674283506,0.6610850005081109,-0.008232166759348509
10,40,0.7865202688160161,0.6570554813945504,0.03561205195152924
10,40,0.8789102192582974,0.49276637420592984,0.07787616623743658
10,40,0.8833785560694867,0.6196596064047799,-0.02523365549671274
10,40,0.8177624074998704,0.5445613772079024,-0.05782511370043327
10,40,0.8231114611713408,0.6755223610644863,-0.11035265177586508
10,40,0.7436142304452984,0.48648149864226753,0.01816895018175861
10,40,0.7017494903643362,0.694745962246048,0.06998623297798909
10,40,0.7920220878516888,0.7096645692413421,0.01096201073116234
10,40,0.8738480338527518,0.4645874703925495,0.08987914987915545
10,60,0.6436531508254222,-0.048669592843222226,0.07020677345045186
10,60,0.8106014202716856,0.4466116462351498,0.0827474599914197
10,60,0.6017097759653002,0.3795360054258203,0.0882362629148037
10,60,0.6108244096242548,0.49775023970910176,0.009135622019215433
10,60,0.6548727387826188,0.4086402871749694,0.18572527369659306
10,60,0.7396975418006246,0.24402259632014855,0.18857193645645512
10,60,0.7358122102982769,0.5122671529060865,0.06377176728584963
10,60,0.6883208422589981,0.26152186593381005,0.12908441311268143
10,60,0.8489651447183281,0.35715279083125706,0.19797282520727674
10,60,0.796645213599604,0.08823347309089156,-0.010238331014558828
10,80,0.6036221298709256,0.3806100211289047,0.08379559472303569
10,80,0.5454486859453879,0.26586404821854565,0.14559267076280988
10,80,0.49586862315091135,0.20470387593758826,0.14807670803240372
10,80,0.21579899149871998,0.4191604306049748,-0.09696672725324526
10,80,0.39987817554006155,0.16712226215019207,0.0007464202274698481
10,80,0.5371813243345049,0.23601969935418968,0.1263323057619522
10,80,0.48400878284330195,0.44011632210769697,0.20034142088853765
10,80,0.4814845008240504,0.39595630251763453,0.12911086910403616
10,80,0.43367478300666457,0.37045039345237396,0.2566443093721821
10,80,0.5323492293496846,-0.2598948247344854,0.08937008062820292
1,20,0.3035350062212391,0.38115196112572003,-0.14441335281738707
1,20,0.3288552797873585,0.18661410611210585,0.08110139970860217
1,20,0.028707102678245118,0.08904662662726734,0.12289181285117835
1,20,0.3486231141827883,0.25494026986062873,-0.10364018774596032
1,20,0.4992913548518848,0.4879331668171235,0.06575302849415295
1,20,0.4115278311049541,0.4079139749178945,0.03802891033737189
1,20,0.3738997991966087,0.26148528458096154,0.009488566555745547
1,20,0.22751070850903582,0.38373651355833294,-0.13255659862985233
1,20,0.49924270746500515,-0.015563989619000965,-0.06073883747409378
1,20,0.5023402290039432,0.36150774405827013,-0.14458706863662557
1,40,0.08748888652853706,0.20653118254113398,-0.04895349050576708
1,40,0.1825842185968927,0.18392000910814696,-0.08844555864262929
1,40,0.44043863086573326,0.1862014353293164,0.05450279385022112
1,40,0.2075305706753304,0.5086508780542331,0.009057934675641734
1,40,0.2686321947880707,0.273914649924642,0.02512331154701054
1,40,0.06925370883738484,0.21953614694592044,0.02637008162390058
1,40,0.5407594025009623,0.4827206501209657,0.04919985410735908
1,40,0.23107767903207482,0.21678153352511206,0.0676177644685413
1,40,0.27099285377715826,0.25266351751587446,-0.08205109428727238
1,40,0.3821140050433786,0.2540162043876763,0.009625969987432885
1,60,0.1733572628264732,0.28441244643012187,-0.013373900442102215
1,60,0.030469489008085528,-0.035869519396639245,0.058102370098825476
1,60,-0.051348439395458786,0.003439087398348137,0.2329130363293498
1,60,0.0627852287974791,-0.03643903559318175,0.0003359743616351402
1,60,0.01823538346619633,0.051352338194840814,0.03392042648962151
1,60,0.15689276725649876,0.41606294415774,-0.26568864662111563
1,60,0.01856265544788456,0.021605813869212037,-0.25019593193364426
1,60,-0.09423924734991014,0.13940710652599408,0.04104715778379776
1,60,-0.09297933743660673,-0.007826480110976327,-0.04290824097329027
1,60,0.19267948927615783,0.2106039617474506,0.005286990883784773
1,80,0.012219488557973675,-0.05003326108591544,0.15941137240750677
1,80,-0.03703792847800544,0.07798406779536209,-0.07801223235385268
1,80,0.09343890657378444,0.017650848605282814,0.057573562103026145
1,80,0.14308704593750093,0.1702413172338983,0.2643763066704391
1,80,-0.18356504410173616,-0.010720150153783442,0.052861460123160536
1,80,0.4182587898091277,0.23894864484173847,0.006720835017082728
1,80,0.141946356034479,-0.07900414477678298,0.05809012771456102
1,80,0.2489174218372686,0.324145315704353,0.14231116235318705
1,80,0.14663359999067938,0.11808344646225057,-0.056823041547834865
1,80,0.26077784530251924,0.11297405908402848,-0.15736383605320392
30,20,0.9419275300389949,0.47773561840366746,-0.014135135922216518
30,20,0.9579565466525893,0.8331361370486635,-0.04813189151743756
30,20,0.9509987136871506,0.5132631655520199,-0.13187825404088996
30,20,0.9468536422584494,0.5907170898540945,-0.13815312338590507
30,20,0.9464228314260504,0.42733189980180064,-0.08619455918284467
30,20,0.946400187194987,0.4607656041518749,-0.0805494979902433
30,20,0.9561679125131984,0.4939959178022508,-0.05765676738311347
30,20,0.8796373805874923,0.7102131071470563,-0.0212431037478362
30,20,0.9693121995580578,0.6740383222815465,-0.08536335673215277
30,20,0.849895099608111,0.9040429817040541,-0.06626128045707987
30,40,0.9582774037039262,0.5105556040385361,0.008177936388759813
30,40,0.9533548037718632,0.7054270635765958,-0.05520345417209426
30,40,0.9401450091872735,0.5663010549908075,0.01652239687320566
30,40,0.9342994253774729,0.48196934820675963,-0.09747666616563887
30,40,0.9452433762872428,0.6320219439584092,0.019581815913278892
30,40,0.9277053884897912,0.5025514017043902,0.09791359952368192
30,40,0.9385702901642142,0.6429158888607058,0.06072238749993482
30,40,0.8456300390665984,0.6925435722116864,0.009436239810800854
30,40,0.9204459396249285,0.7430695432753454,-0.037617234380530024
30,40,0.9251226467914568,0.7498840897702119,0.05797133475214578
30,60,0.9155536187434357,0.6021177130395375,0.056490151082095895
30,60,0.6234413096568078,0.5718890683071282,0.1643855880643981
30,60,0.9138886672110109,0.5283164323613055,0.25784869787244746
30,60,0.7758472592578683,0.6262379663310812,0.11800128161761346
30,60,0.9153176078024025,0.6570614863864951,0.18838502323906975
30,60,0.8230548008423476,0.4511154522398593,-0.020661160278567636
30,60,0.9090009846743284,0.7884683754051448,0.14258809061795025
30,60,0.8252203292914203,0.3044824590351946,0.1516399866333475
30,60,0.916498986031218,0.3949493648263289,0.17211727225836143
30,60,0.7974426270888917,0.22946800408310916,0.00018463398282113347
30,80,0.6115700907843068,0.3450291509863617,0.10335569217813668
30,80,0.5885063508784623,0.654044579358464,0.049351859140821144
30,80,0.5623080616993293,-0.016787432523775618,0.09699800049822735
30,80,0.6679169602165257,0.28748890089716606,0.058900751655747055
30,80,0.7079656432657561,0.1567399116679027,0.40945177840647967
30,80,0.6863103868639133,0.17532969258619988,0.0007560729617659327
30,80,0.7658519145877334,0.4287246943819493,0.01774592565744576
30,80,0.1933956428560369,0.44981123382832233,-0.01603601571978177
30,80,0.5682335429936854,0.3667524623306772,0.14730015134695254
30,80,0.8080083339199332,-0.07443391186436019,0.37678156715591354
5,20,0.6487156537938985,0.5648955989330186,-0.16980966478387238
5,20,0.7094234374742158,0.6927230106977057,-0.09466889076291858
5,20,0.8553237293246958,0.4146824871105886,-0.008851611330666824
5,20,0.5360322930136755,0.2641606617209824,-0.12300325719868119
5,20,0.7691983319837845,0.5181966304989314,-0.019564139710997915
5,20,0.8657667628921103,0.2718228867970934,-0.04332827383592376
5,20,0.8408256421550628,0.43744016971380645,-0.08607965586655927
5,20,0.8598064192728779,0.598801061134461,-0.1372005217012532
5,20,0.857956783015788,0.3595573183852104,-0.07389914359235292
5,20,0.8093811905214999,0.45929225674358537,-0.15346740761446234
5,40,0.7424615209071507,0.38458058373948933,-0.00032020837511528746
5,40,0.7989119625455706,0.5309194069243295,0.08680568298095026
5,40,0.6104928532314464,0.5933762586449429,0.0016434423615844997
