model,arm,rep,rmse,rmse_customer_total,bias_percent,mape_aggregate,spearman,pred_sd
ValendinLSTM,archive,0,0.3776341563297289,3.669721991843272,57.33708241502422,83.33299248495169,-0.010036925332478632,0.20790940945030437
ValendinLSTM,archive,1,0.37645508501128117,3.4314807620259584,16.287320847454676,50.83878663645947,0.13780061652083533,0.4612135806996437
ValendinLSTM,archive,2,0.37808205022768837,3.6977590198618393,64.32242668751202,84.59236535834722,0.03768217900537448,0.2159433208821617
ValendinLSTM,archive,3,0.37769029407915133,3.5728260865498234,33.80708913975867,71.45807774878409,0.025115234474924034,0.19321974498372196
ValendinLSTM,archive,4,0.3773276166654861,3.5833668190104957,34.930811027330165,65.54089974454548,-0.011030407693350487,0.1940507945942533
ValendinLSTM,archive,5,0.37752107155090764,3.5916995598371453,41.323108227647865,73.37695974697897,0.09532693158303872,0.206536263839376
ValendinLSTM,archive,6,0.37720407455089927,3.6426228381676626,52.89093377589202,68.40695295649195,0.05407125590165906,0.22082096589289674
ValendinLSTM,archive,7,0.37795710060723664,3.7027195486584947,65.03101559927207,79.96557594931484,0.07349816242385802,0.22614338381944948
ValendinLSTM,archive,8,0.37697389778967,3.545040052931226,20.385821175208413,57.452624343366054,0.030956260904342756,0.18339891248377
ValendinLSTM,archive,9,0.37669233518532974,3.5305087933771517,-7.245399101161957,51.047716448978655,0.0464017392326152,0.15729987463906836
ValendinLSTM,archive,10,0.37679842563721355,3.5423910152585583,13.309134068456213,51.916496184335145,0.011659870626447721,0.18220945999164634
ValendinLSTM,archive,11,0.3774433737475371,3.6105164835707386,42.64928410966102,72.26005451551846,0.07724647220834667,0.19826439876895557
ValendinLSTM,archive,12,0.3773974160239048,3.666461848547129,54.30027261882978,66.78766187873356,-0.005944568670985795,0.2118307731784218
ValendinLSTM,archive,13,0.3783958365511522,3.7048537093909975,64.57668702786582,90.90184048662525,-0.0024429361728394573,0.214089406708336
ValendinLSTM,archive,14,0.3776238423235528,3.61303095302775,42.63633251527912,69.46182687650668,0.0007473592653567586,0.1966352104830403
