panel,model,training,cluster,rep,rmse,rmse_customer_total,bias_percent,mape_aggregate,spearman
cdnow,ValendinLSTM,archive,no_cluster,0,0.14866768221793913,1.876762475787171,-36.47203251296848,44.21767873999177,0.2734468847830754
cdnow,ValendinLSTM,archive,no_cluster,1,0.14729819837873928,1.828854135817184,-50.24168929163799,50.24168929163796,0.3553915309888248
cdnow,ValendinLSTM,archive,no_cluster,2,0.1478863351877059,1.8911016495613888,-59.244855481757995,59.244855481757995,0.39078843821021564
cdnow,ValendinLSTM,archive,no_cluster,3,0.14739984465656386,1.825580653048709,-39.75514586346553,46.54723003565656,0.36866843330064514
cdnow,ValendinLSTM,archive,no_cluster,4,0.14728292257871733,1.841660958726943,-49.92770515411806,52.41319317577092,0.36666642871126676
cdnow,ValendinLSTM,archive,no_cluster,5,0.14745827740021863,1.8168130922509989,-20.952771302794545,32.437203638452345,0.41983176539216094
cdnow,ValendinLSTM,archive,no_cluster,6,0.1472345357074916,1.7868053302021196,-16.360159102228025,27.026121557977792,0.41755662317823095
cdnow,ValendinLSTM,archive,no_cluster,7,0.14652947410055034,1.7195020147343016,-15.459895197371207,27.184960679360106,0.4177331044749912
cdnow,ValendinLSTM,archive,no_cluster,8,0.1469218995594446,1.6922428425928258,-1.7601591440063087,30.013456473957593,0.41051473831450314
cdnow,ValendinLSTM,archive,no_cluster,9,0.14784872234293178,1.9023883913682373,-60.05435416740356,60.05435416740358,0.3522038537161213
cdnow,ValendinLSTM,archive,no_cluster,10,0.1474483737482237,1.7471594613100783,-0.6923490191141866,47.447493497459234,0.4114738118630957
cdnow,ValendinLSTM,archive,no_cluster,11,0.15128272668367876,1.9124870374098955,17.294194557037834,75.75224298959249,0.028673180631925338
cdnow,ValendinLSTM,archive,no_cluster,12,0.14611087123616312,1.6616744076095318,-7.817942763342376,22.76992102647527,0.41847862354982696
cdnow,ValendinLSTM,archive,no_cluster,13,0.14700391543901592,1.7779735837408221,-38.14432793957921,38.76121438666221,0.34720133365061917
cdnow,ValendinLSTM,archive,no_cluster,14,0.14728501750434053,1.7358679863140836,-23.472560119955524,36.028232637861805,0.38509374927203116
cdnow,ValendinLSTM,archive,no_cluster,15,0.1470440027518496,1.7688945954071351,-23.68733592390416,35.39551491797536,0.36813726137508074
cdnow,ValendinLSTM,archive,no_cluster,16,0.14691449128638223,1.684982966624514,-25.12374744954545,38.395514827673914,0.38872456254402366
cdnow,ValendinLSTM,archive,no_cluster,17,0.14786163317178364,1.9037262393155823,-53.86438062964995,53.86438062964994,0.36480519196430566
cdnow,ValendinLSTM,archive,no_cluster,18,0.1479947859736079,1.7961616532133116,-34.812929562703665,45.95066017513049,0.3807967809930764
cdnow,ValendinLSTM,archive,no_cluster,19,0.16397717366711384,2.3191834737625245,204.77651682905932,209.73324518056086,0.4164599970453907
cdnow,ValendinLSTM,archive,kmeans_8,0,0.1507299269924586,1.9620315653672513,5.103430060035745,42.817414255621095,0.4433438569164131
cdnow,ValendinLSTM,archive,kmeans_8,1,0.15015221597775819,2.040087203119874,8.544854793579596,29.72005269787517,0.46862471047710647
cdnow,ValendinLSTM,archive,kmeans_8,2,0.15317926302360188,2.2519314552659453,31.16569906861411,43.15989437446704,0.42557335321022105
cdnow,ValendinLSTM,archive,kmeans_8,3,0.1520097084273263,2.122409448322855,23.518733451914457,38.56200520971439,0.41314558865052226
cdnow,ValendinLSTM,archive,kmeans_8,4,0.1545530159203997,2.280990711316706,40.70686003974681,49.98918193065631,0.43447076310669674
cdnow,ValendinLSTM,archive,kmeans_8,5,0.15948884294366236,2.7576981252014763,48.090765094065056,51.88443266346771,0.4268871545628797
cdnow,ValendinLSTM,archive,kmeans_8,6,0.15126859849605329,2.0697378484959588,20.148284898672728,37.23905010620686,0.39176149163961715
cdnow,ValendinLSTM,archive,kmeans_8,7,0.15680786858653645,2.507021136232648,49.03456453902343,52.17757248813602,0.42821017112418014
cdnow,ValendinLSTM,archive,kmeans_8,8,0.14921304323519172,1.9058551835270388,-3.614775762944911,29.426385283489832,0.46969358100721487
cdnow,ValendinLSTM,archive,kmeans_8,9,0.15291747553437143,2.0233733065870125,27.319260987263853,60.42955130333752,0.32074638812653916
cdnow,ValendinLSTM,archive,kmeans_8,10,0.15272103281539465,2.205359776677279,36.570448403671726,42.239577744431294,0.3829791668629662
cdnow,ValendinLSTM,archive,kmeans_8,11,0.1497490866500385,1.9320831118049746,-0.014511965765692813,32.996569953092184,0.44802443819036947
cdnow,ValendinLSTM,archive,kmeans_8,12,0.15050127922292555,2.0530460947975397,22.96860157141069,32.16015831230692,0.44696085963189064
cdnow,ValendinLSTM,archive,kmeans_8,13,0.21569877581805758,4.234857540612601,259.951450739223,269.3445905967367,0.20859540306396251
cdnow,ValendinLSTM,archive,kmeans_8,14,0.1585221748557578,2.329599849160732,83.85224244780927,96.66332429181534,0.3239425886517255
cdnow,ValendinLSTM,archive,kmeans_8,15,0.1536345899743101,2.2743937954794715,31.009498646723596,41.2675461238422,0.43446941260867994
cdnow,ValendinLSTM,archive,kmeans_8,16,0.15266108083940305,2.03333620006456,30.98258558287224,66.32875983114292,0.39127842943574126
cdnow,ValendinLSTM,archive,kmeans_8,17,0.15416295188433932,2.1751813224537444,46.83166212045964,57.5656991186588,0.3791352601934
cdnow,ValendinLSTM,archive,kmeans_8,18,0.15316017807562785,2.2557271099632423,24.441952465942432,38.22612132159574,0.3948246314253579
cdnow,ValendinLSTM,archive,kmeans_8,19,0.14940084640322301,1.893594257236948,13.08021097146658,36.829023662178045,0.4245373561976117
cdnow,ValendinLSTM,floored,no_cluster,0,0.14752751332536676,1.7375099806651053,-24.344855657579927,41.50791597392888,0.3621201185518915
cdnow,ValendinLSTM,floored,no_cluster,1,0.14761186154402972,1.7706727267972158,-5.0026392658049845,44.09287635143611,0.35963927330275747
cdnow,ValendinLSTM,floored,no_cluster,2,0.14814515842633072,1.8018017805455535,1.0635876003404199,43.20554104935884,0.3843812471833592
cdnow,ValendinLSTM,floored,no_cluster,3,0.1473544243355363,1.7759516151087396,-42.02849669637565,51.96147799742548,0.3897437725760336
cdnow,ValendinLSTM,floored,no_cluster,4,0.15593269797842013,2.0604210794610833,145.6741420414523,151.8999997780001,0.4225860654337644
cdnow,ValendinLSTM,floored,no_cluster,5,0.1479285118124769,1.7353664448358541,31.322690658418463,63.605013247382736,0.3493760978038835
cdnow,ValendinLSTM,floored,no_cluster,6,0.1462600315495914,1.6749486047691307,0.9649068291608245,25.72480208213419,0.43108061251303664
cdnow,ValendinLSTM,floored,no_cluster,7,0.16340197548270122,2.3657559730227136,199.75778329434306,212.30976242016706,0.4068708714043395
cdnow,ValendinLSTM,floored,no_cluster,8,0.14702421758302728,1.7251167829372196,37.032716985408285,45.3968333709482,0.43237480667830586
cdnow,ValendinLSTM,floored,no_cluster,9,0.14728906314484835,1.6716384670438151,29.145909608255458,48.97915542754765,0.4229358070418134
cdnow,ValendinLSTM,floored,no_cluster,10,0.14854171579988767,1.9847792521124672,-50.15224356985729,52.32216430680563,0.23169566159397942
cdnow,ValendinLSTM,floored,no_cluster,11,0.14653080856686482,1.696862146718948,-24.488391205472162,34.23825899684589,0.38515798417310915
cdnow,ValendinLSTM,floored,no_cluster,12,0.14748566918515021,1.7712612784049002,-36.10316697272224,41.693668073058184,0.35860252202971354
cdnow,ValendinLSTM,floored,no_cluster,13,0.14704242413528362,1.7995544702227435,-41.06174213315407,42.675990014285645,0.36926323723017007
cdnow,ValendinLSTM,floored,no_cluster,14,0.1480709206738632,1.8761473715619996,-44.932454571639305,48.9767815686745,0.3199201347297951
cdnow,ValendinLSTM,floored,no_cluster,15,0.14656847295204653,1.673736187453621,21.04327098223153,32.21635848932486,0.4296737269912035
cdnow,ValendinLSTM,floored,no_cluster,16,0.14806537640669332,1.804051358518607,0.9759886699939695,43.67730886220819,0.4102557973034788
cdnow,ValendinLSTM,floored,no_cluster,17,0.14614149690878464,1.6613547280671597,-10.737731536865365,26.76833783544232,0.4267366937101537
cdnow,ValendinLSTM,floored,no_cluster,18,0.14730374753350609,1.8282467099459547,-33.88311428049891,36.755409571674136,0.3774708484094672
cdnow,ValendinLSTM,floored,no_cluster,19,0.14697080945147353,1.7645925991243743,-34.93825927430837,42.46596347722476,0.39266995493523926
cdnow,ValendinLSTM,floored,kmeans_8,0,0.1501961510684541,1.9263301653767686,-4.7327177508643725,31.173878601975847,0.4265280835264973
cdnow,ValendinLSTM,floored,kmeans_8,1,0.15180818022858428,2.047152997978938,10.877572404402494,38.42480205372957,0.39321976684930793
cdnow,ValendinLSTM,floored,kmeans_8,2,0.15776334780014215,2.6389722749109112,58.12216359630498,61.93746702534223,0.4274996881607616
cdnow,ValendinLSTM,floored,kmeans_8,3,0.16138363228286234,2.838330496291541,54.14116073645507,60.4741422548929,0.38259320014532316
cdnow,ValendinLSTM,floored,kmeans_8,4,0.16351088601424543,2.4338185324026447,104.9857517569706,115.38575180503965,0.39455633088879216
cdnow,ValendinLSTM,floored,kmeans_8,5,0.149294769617305,1.950248028743517,0.8321899950189287,23.766754653727475,0.447328695325162
