split,epoch,all,zero,pos
temporal,0,0.1302700457750363,0.0003886944560358224,9.506204265082834
temporal,1,0.09350551124892031,0.013515460300250422,5.867863692330586
temporal,2,0.09689973787107925,0.02597624369792884,5.216757183366397
temporal,3,0.0966893844130177,0.024768950554010138,5.288514524242874
temporal,4,0.09684159019677639,0.025020482104496207,5.281496485141825
temporal,5,0.09440944778174784,0.017556348685058214,5.6423157917016225
temporal,6,0.0963500814799797,0.023978517001624917,5.320741598391574
temporal,7,0.09434204414822876,0.01850839664795938,5.568655904565886
temporal,8,0.0940219231037679,0.018436882221625026,5.550389291475098
temporal,9,0.09336227037540071,0.016107935927773764,5.670233167897663
temporal,10,0.0955790459274571,0.023614417654586682,5.290594479831249
temporal,11,0.0933498797771096,0.01660895459181323,5.633158643298319
temporal,12,0.09749702488302,0.027163210450998745,5.174786488350057
temporal,13,0.09321640245080647,0.01717756240813505,5.582342844057973
temporal,14,0.0937096148969911,0.01925584000930386,5.468412574159269
temporal,15,0.09281094547458268,0.015908262019138458,5.644296795079178
temporal,16,0.09280755810340725,0.015903426516456706,5.644398062662277
temporal,17,0.09456132897820092,0.022172678038139704,5.32018616486891
temporal,18,0.09284462512418845,0.015750474597182037,5.658152215954403
temporal,19,0.09373905004547535,0.019859911931806175,5.4269599202128544
temporal,20,0.09322701321690625,0.01872627553291835,5.471320043800238
temporal,21,0.0940651383461465,0.021250409368272195,5.350448093511456
temporal,22,0.09258798293239101,0.013975766475613521,5.767482343068147
temporal,23,0.09273586368764322,0.01546459175120091,5.670829588367093
temporal,24,0.09547837253757097,0.02490149520213344,5.190314074323618
temporal,25,0.09302379873275225,0.01778632947033146,5.524300356672251
temporal,26,0.09247908035169299,0.014391155059447687,5.729525888310223
temporal,27,0.09271815173356268,0.016902068441883494,5.56576402725712
temporal,28,0.09309727970607164,0.017430897504136823,5.555336306172032
temporal,29,0.09321555664778929,0.018843742307264932,5.462001972166103
temporal,30,0.09306803198286362,0.017865118189436036,5.521850291253755
temporal,31,0.09262528781867861,0.013557174080792374,5.800430330234391
temporal,32,0.09245523858227446,0.015590101472773914,5.641230688435113
temporal,33,0.0927659594261592,0.011327967330511663,5.9716486647497415
temporal,34,0.09237797733493425,0.013892493228584437,5.758123747561703
temporal,35,0.09333175456710834,0.01967648491563032,5.410391854511254
temporal,36,0.09261446192942181,0.011677272580142596,5.935345110545134
temporal,37,0.09212160327278131,0.013776977226127952,5.747699106083661
temporal,38,0.09223776163634093,0.015628273028017965,5.622558321734235
temporal,39,0.09217964475712595,0.017091641553597384,5.512666530641514
temporal,40,0.0917357976332416,0.015074503405241788,5.625796047657577
temporal,41,0.09212462747429966,0.010746301562046102,5.966700147489538
temporal,42,0.09128461322570273,0.014547139339617036,5.630844365558722
temporal,43,0.09118411212902382,0.013576344955438234,5.6935690505800105
temporal,44,0.0921325864116679,0.01987012931658471,5.308647725699511
temporal,45,0.09130106576687884,0.018810436848361173,5.324287582941492
temporal,46,0.09074516425584502,0.01207971058121971,5.769482666041531
temporal,47,0.09015799298781549,0.01150354837417468,5.768100929584082
temporal,48,0.08952980646786668,0.015595636323163409,5.426723250306523
temporal,49,0.0897656034823748,0.016533115065505182,5.37630576957871
temporal,50,0.08969550934928107,0.01667930973381075,5.360622289427675
temporal,51,0.09010166302012237,0.01916906957514869,5.210615990319762
temporal,52,0.08962896381911602,0.01760817882850328,5.288698141360324
temporal,53,0.0892690035765231,0.01249915479859521,5.63116586552411
temporal,54,0.08926555753539575,0.013662903970366557,5.54690436474941
temporal,55,0.08933184608586192,0.018083921164374447,5.2326095043499725
temporal,56,0.08932801395574483,0.014677052484518295,5.478265716993141
temporal,57,0.0888986968038431,0.01556973695199878,5.38240309360679
temporal,58,0.08961633606325156,0.018353836767261746,5.233946044092875
temporal,59,0.0893160556390753,0.017745103349117983,5.255912424550599
temporal,60,0.08897305446375918,0.013376405393363206,5.5461783222917385
temporal,61,0.08865657502693204,0.013913969304000377,5.4842098054740145
temporal,62,0.08888171879935709,0.013941348026589378,5.498711254074537
temporal,63,0.08898127338954179,0.014421325655243029,5.471348650791446
temporal,64,0.08871317949566714,0.014108605531626876,5.474302152623952
temporal,65,0.09009514932808545,0.013316313750925712,5.632640579560414
temporal,66,0.09046667586941881,0.018425160813116844,5.291032366922634
temporal,67,0.08932329956405823,0.014115320077078478,5.5184710005548085
temporal,68,0.08912534767725012,0.015255929721753414,5.42164446663978
temporal,69,0.09045995864662863,0.019151642494181026,5.238097195714358
temporal,70,0.08943670459898458,0.01674171783656128,5.337175404883808
temporal,71,0.08912401729405695,0.015134835041921516,5.430288732557831
temporal,72,0.09126196804013004,0.02310165546668176,5.011649670949007
temporal,73,0.08994587146694966,0.01952753587602243,5.173336728521843
temporal,74,0.0891932389881523,0.01693260526440661,5.305576719533406
temporal,75,0.08887964791818863,0.015388412509678578,5.394098472919043
temporal,76,0.08917130368245027,0.0173241017709747,5.275709683300077
