suite,model,study,best_epoch,val_loss,spearman,pred_sd,arm
ar_encoding__electronics__ar_bounded_32__b,LSTM,15,25.0,0.0862503722310066,0.15492480154720586,0.23029533137915975,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__b,LSTM,20,34.0,0.0861167535185813,0.2789010979135469,0.5707396738436153,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__b,LSTM,8,18.0,0.0886988218587178,0.2579473968058273,0.6196820208630153,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__b,LSTM,6,31.0,0.0880012118390628,0.23863671147218876,0.3765686129592964,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__b,LSTM,9,28.0,0.0874209478497505,0.25474230601130704,0.6119760073399726,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__b,LSTM,13,36.0,0.0854871962219476,0.26908145816932943,0.614715911437165,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__c,LSTM,19,29.0,0.0871860374297414,0.2992657309695144,0.8544077922671621,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__c,LSTM,7,26.0,0.0873581139104706,0.27447704835015296,0.7824385377040751,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__c,LSTM,4,22.0,0.08818694920494,0.2867634914247086,1.84216779874988,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__c,LSTM,17,20.0,0.0878075297389711,0.1813576561579921,0.3410580401141751,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__c,LSTM,18,24.0,0.0857148766517639,0.2017232438848406,0.30385800435913046,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__c,LSTM,11,44.0,0.085087165236473,0.24146419844221123,0.6434044237963129,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__c,LSTM,2,28.0,0.0874958762100764,0.24330438224433776,0.5056656562419397,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__c,LSTM,1,29.0,0.087360180914402,0.32036685181840313,0.8802684108293466,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__c,LSTM,3,30.0,0.0886173652751105,0.23124330853487984,0.24499581629375106,ar_encoding__electronics__ar_bounded_32
