suite,model,study,spearman,pred_sd,val_loss,best_epoch,epochs_run,lr,batch_size,weight_decay,updates,hidden,dense,dropout,embedder,d_model,arm
ar_encoding__electronics__ar_bounded_32__b,LSTM,5,0.1791837416589367,0.244448754087497,0.0865771528333425,45.0,53.0,0.0089172246691787,256.0,1.0805568416322378e-06,184.0,64.0,32.0,0.0,valendin,,b
ar_encoding__electronics__ar_bounded_32__b,LSTM,6,0.2386367114721887,0.3765686129592964,0.0880012118390628,31.0,39.0,0.0095651129704955,128.0,3.1953600550317536e-06,224.0,32.0,128.0,0.0,valendin,,b
ar_encoding__electronics__ar_bounded_32__b,LSTM,7,0.2948081305642417,0.6036073877944436,0.0888453206190696,22.0,30.0,0.0063535292888176,64.0,0.0007331794762906,299.0,64.0,32.0,0.2,valendin,,b
ar_encoding__electronics__ar_bounded_32__b,LSTM,8,0.2579473968058273,0.6196820208630153,0.0886988218587178,18.0,26.0,0.0098948142481954,64.0,0.0004483178986312,247.0,64.0,32.0,0.2,valendin,,b
ar_encoding__electronics__ar_bounded_32__b,LSTM,9,0.254742306011307,0.6119760073399726,0.0874209478497505,28.0,36.0,0.0049061891215032,128.0,8.60808131592279e-06,203.0,128.0,64.0,0.2,valendin,,b
ar_encoding__electronics__ar_bounded_32__b,LSTM,10,0.2928963179718846,0.7198664551449121,0.0872159515108381,21.0,29.0,0.0067055651580692,128.0,0.0002631633021555,154.0,128.0,64.0,0.0,valendin,,b
ar_encoding__electronics__ar_bounded_32__b,LSTM,11,0.2356601164648469,0.3008472999914248,0.0859403423964977,22.0,30.0,0.0098171955263521,256.0,0.0007192009215118,92.0,128.0,64.0,0.2,valendin,,b
ar_encoding__electronics__ar_bounded_32__b,LSTM,12,0.2159767517422419,0.2776988204657502,0.0859753470867872,26.0,34.0,0.0067021026079691,256.0,3.4578995685183066e-05,108.0,128.0,32.0,0.0,valendin,,b
ar_encoding__electronics__ar_bounded_32__b,LSTM,13,0.2690814581693294,0.614715911437165,0.0854871962219476,36.0,44.0,0.0053453498651167,256.0,0.0001124463493408,148.0,128.0,32.0,0.0,valendin,,b
ar_encoding__electronics__ar_bounded_32__b,LSTM,14,0.3328368810397053,1.0823854833813975,0.0883126817643642,13.0,21.0,0.0079467392997317,64.0,0.0010557635859297,182.0,128.0,64.0,0.2,valendin,,b
ar_encoding__electronics__ar_bounded_32__b,LSTM,15,0.1549248015472058,0.2302953313791597,0.0862503722310066,25.0,33.0,0.0089497213265263,256.0,0.0020627694031471,104.0,64.0,128.0,0.0,valendin,,b
ar_encoding__electronics__ar_bounded_32__b,LSTM,16,0.2841375187979051,0.9757403703759052,0.0873432351010186,32.0,40.0,0.0074101395553882,128.0,0.0003806889936472,231.0,64.0,32.0,0.2,valendin,,b
ar_encoding__electronics__ar_bounded_32__b,LSTM,17,0.2820771232230187,1.491668678626918,0.0881833113156832,19.0,27.0,0.006707582052318,64.0,6.714824714692676e-06,260.0,128.0,32.0,0.0,valendin,,b
ar_encoding__electronics__ar_bounded_32__b,LSTM,18,0.1580807576057966,0.2648147430317307,0.0862127561122179,22.0,30.0,0.0092674283100915,256.0,0.0003892490704116,92.0,128.0,32.0,0.2,valendin,,b
ar_encoding__electronics__ar_bounded_32__b,LSTM,19,0.2955496322043514,0.7679324672693907,0.0849662814289331,43.0,51.0,0.0084821481656049,256.0,2.341989504684316e-05,176.0,128.0,32.0,0.0,valendin,,b
ar_encoding__electronics__ar_bounded_32__b,LSTM,20,0.2789010979135469,0.5707396738436153,0.0861167535185813,34.0,42.0,0.0096321897828625,256.0,0.0010343081619682,140.0,128.0,64.0,0.0,valendin,,b
ar_encoding__electronics__ar_bounded_32__c,LSTM,1,0.3203668518184031,0.8802684108293466,0.087360180914402,29.0,37.0,0.0068272971052342,128.0,2.035551526658511e-06,210.0,128.0,64.0,0.0,valendin,,c
ar_encoding__electronics__ar_bounded_32__c,LSTM,2,0.2433043822443377,0.5056656562419397,0.0874958762100764,28.0,36.0,0.0032088029213659,128.0,0.0021856343934104,203.0,128.0,64.0,0.0,valendin,,c
ar_encoding__electronics__ar_bounded_32__c,LSTM,3,0.2312433085348798,0.244995816293751,0.0886173652751105,30.0,38.0,0.0023893766777153,128.0,0.0021918620813513,217.0,32.0,64.0,0.2,valendin,,c
ar_encoding__electronics__ar_bounded_32__c,LSTM,4,0.2867634914247086,1.84216779874988,0.08818694920494,22.0,30.0,0.0029715994882356,64.0,2.554360988172994e-06,299.0,128.0,32.0,0.0,valendin,,c
ar_encoding__electronics__ar_bounded_32__c,LSTM,5,0.2316770492398651,0.3374575350068324,0.0889417832860579,19.0,27.0,0.00940527937432,64.0,6.66701300151725e-05,260.0,64.0,32.0,0.0,valendin,,c
ar_encoding__electronics__ar_bounded_32__c,LSTM,6,0.2268570401603125,0.4653911888183917,0.0878990058388028,23.0,31.0,0.0033847898977247,128.0,4.07549219134513e-05,168.0,64.0,32.0,0.2,valendin,,c
ar_encoding__electronics__ar_bounded_32__c,LSTM,7,0.2744770483501529,0.7824385377040751,0.0873581139104706,26.0,34.0,0.0081701705376477,128.0,0.0021931474540031,189.0,128.0,32.0,0.2,valendin,,c
ar_encoding__electronics__ar_bounded_32__c,LSTM,8,0.3306875297530789,0.9908525229600642,0.0868700753365244,29.0,37.0,0.0083008032590005,128.0,1.0236165574889962e-05,210.0,128.0,32.0,0.2,valendin,,c
ar_encoding__electronics__ar_bounded_32__c,LSTM,9,0.307035590785276,0.6007802169723262,0.0857563875615596,25.0,33.0,0.0074717108254648,256.0,0.0001316172529209,104.0,128.0,64.0,0.2,valendin,,c
ar_encoding__electronics__ar_bounded_32__c,LSTM,10,0.1964323948924726,0.3048388602703865,0.0877073667943477,17.0,25.0,0.005498757692944,256.0,4.828882320792098e-06,72.0,32.0,128.0,0.2,valendin,,c
ar_encoding__electronics__ar_bounded_32__c,LSTM,11,0.2414641984422112,0.6434044237963129,0.085087165236473,44.0,52.0,0.0092691873432498,256.0,0.003753924808773,180.0,128.0,32.0,0.2,valendin,,c
ar_encoding__electronics__ar_bounded_32__c,LSTM,12,0.3035447803311268,0.9259932976750076,0.0869706954274858,42.0,50.0,0.0064497863733035,128.0,0.0003085210239992,301.0,128.0,32.0,0.0,valendin,,c
ar_encoding__electronics__ar_bounded_32__c,LSTM,13,0.3106831665780206,0.8588586447783351,0.0870602939810071,21.0,29.0,0.0073680768960167,128.0,0.0013841183393158,154.0,128.0,32.0,0.2,valendin,,c
ar_encoding__electronics__ar_bounded_32__c,LSTM,14,0.1795791577007515,0.2776263377397249,0.0863398183137178,34.0,42.0,0.009200243371845,256.0,0.0004380488585905,140.0,128.0,32.0,0.2,valendin,,c
ar_encoding__electronics__ar_bounded_32__c,LSTM,15,0.2466416417029048,0.4315133724907604,0.0858087167143821,32.0,40.0,0.0033946127946224,256.0,0.0002571306625997,132.0,32.0,128.0,0.0,valendin,,c
ar_encoding__electronics__ar_bounded_32__c,LSTM,16,0.1855896128779653,0.38043615112084,0.0857550408691167,32.0,40.0,0.0083866519953809,256.0,0.009933191591523,132.0,128.0,64.0,0.0,valendin,,c
ar_encoding__electronics__ar_bounded_32__c,LSTM,17,0.1813576561579921,0.3410580401141751,0.0878075297389711,20.0,28.0,0.0086406621699575,128.0,7.327444519867738e-05,147.0,32.0,128.0,0.0,valendin,,c
ar_encoding__electronics__ar_bounded_32__c,LSTM,18,0.2017232438848406,0.3038580043591304,0.0857148766517639,24.0,32.0,0.0092548585317187,256.0,0.0035032657476007,100.0,64.0,128.0,0.0,valendin,,c
ar_encoding__electronics__ar_bounded_32__c,LSTM,19,0.2992657309695144,0.8544077922671621,0.0871860374297414,29.0,37.0,0.009680891529243,128.0,1.0490904457875609e-05,210.0,128.0,32.0,0.0,valendin,,c
ar_encoding__electronics__ar_bounded_32__c,LSTM,20,0.2506290422442069,0.389263456153071,0.0887704480152863,15.0,23.0,0.0086250954821133,64.0,8.04397857579832e-05,208.0,64.0,32.0,0.2,valendin,,c
ar_encoding__electronics__ar_bounded_32__d,LSTM,1,0.2082108218640183,0.3261645247696955,0.0882994894470487,11.0,19.0,0.008226587011204,128.0,5.755548383729455e-05,84.0,32.0,128.0,0.0,valendin,,d
ar_encoding__electronics__ar_bounded_32__d,LSTM,2,0.3126343754878106,0.8660135219740034,0.0873742337737764,21.0,29.0,0.0039924939881558,128.0,0.0002261412824378,154.0,128.0,64.0,0.0,valendin,,d
ar_encoding__electronics__ar_bounded_32__d,LSTM,3,0.2664963667505962,0.6116526741851891,0.0856083892285823,34.0,42.0,0.0031301547986494,256.0,0.000242165615437,140.0,128.0,64.0,0.0,valendin,,d
ar_encoding__electronics__ar_bounded_32__d,LSTM,4,0.2871923594760993,0.8873273614645045,0.0882534356071398,26.0,34.0,0.0068042513569199,64.0,4.330027727091766e-06,351.0,128.0,32.0,0.0,valendin,,d
ar_encoding__electronics__ar_bounded_32__d,LSTM,5,0.3034853854505644,1.3608163364271155,0.0868371458990233,16.0,24.0,0.0087222789266711,128.0,1.253031279884078e-06,119.0,128.0,32.0,0.2,valendin,,d
ar_encoding__electronics__ar_bounded_32__d,LSTM,6,0.309006924909305,0.9779944624989718,0.0871588960289955,23.0,31.0,0.0048141285080763,128.0,0.001974388775717,168.0,128.0,32.0,0.0,valendin,,d
ar_encoding__electronics__ar_bounded_32__d,LSTM,7,0.3117053380766378,0.5215838514250839,0.0856297183781862,31.0,39.0,0.0034496229870925,256.0,0.0099880961891469,128.0,128.0,64.0,0.2,valendin,,d
ar_encoding__electronics__ar_bounded_32__d,LSTM,8,0.2482154286219417,0.3038590874237648,0.0856594517827034,28.0,36.0,0.0054154121295462,256.0,0.0006244145015199,116.0,128.0,64.0,0.0,valendin,,d
ar_encoding__electronics__ar_bounded_32__d,LSTM,9,0.2596724432304804,0.9587263328935368,0.0885125401501472,23.0,31.0,0.0030459815701674,64.0,7.276990309557779e-05,312.0,128.0,64.0,0.0,valendin,,d
ar_encoding__electronics__ar_bounded_32__d,LSTM,10,0.2562077193480637,0.8389733180903465,0.0875250697135925,16.0,24.0,0.0082289277838404,128.0,3.452503564970039e-06,119.0,128.0,64.0,0.2,valendin,,d
ar_encoding__electronics__ar_bounded_32__d,LSTM,11,0.2259186676675821,0.4160033574088379,0.0890073266166907,17.0,25.0,0.0040854430873097,64.0,0.0001411009874939,234.0,128.0,32.0,0.2,valendin,,d
ar_encoding__electronics__ar_bounded_32__d,LSTM,12,0.2401556213478737,0.3840543269133628,0.0876404494047164,38.0,46.0,0.0062086421387005,128.0,0.0002487982988277,273.0,64.0,32.0,0.2,valendin,,d
ar_encoding__electronics__ar_bounded_32__d,LSTM,13,0.3035918159545637,0.9916088877885608,0.0871482044458389,35.0,43.0,0.0046058888840923,128.0,0.0001304835653313,252.0,128.0,64.0,0.2,valendin,,d
ar_encoding__electronics__ar_bounded_32__d,LSTM,14,0.2458100675640191,0.2609401754486349,0.0855226796120405,43.0,51.0,0.0094317627496739,256.0,3.370614733115784e-05,176.0,64.0,32.0,0.2,valendin,,d
ar_encoding__electronics__ar_bounded_32__d,LSTM,15,0.242984820360208,0.5795499656330761,0.085786122828722,28.0,36.0,0.0055741738651958,256.0,0.0004736609147128,116.0,128.0,32.0,0.2,valendin,,d
ar_encoding__electronics__ar_bounded_32__d,LSTM,16,0.3076027198813207,1.329026540537955,0.0881072506308555,18.0,26.0,0.0037791623555732,64.0,0.0062718135567045,247.0,128.0,32.0,0.0,valendin,,d
ar_encoding__electronics__ar_bounded_32__d,LSTM,17,0.2911740879800523,0.9889619805799678,0.0850588958710432,32.0,40.0,0.0092322717613963,256.0,1.753438598777029e-05,132.0,128.0,32.0,0.2,valendin,,d
ar_encoding__electronics__ar_bounded_32__d,LSTM,18,0.2291339751083436,0.2906386828720814,0.0884118825197219,21.0,29.0,0.0038416897531729,128.0,8.770381888425425e-05,154.0,128.0,32.0,0.0,valendin,,d
ar_encoding__electronics__ar_bounded_32__d,LSTM,19,0.259729515970558,0.3905471329659092,0.0875525538410459,33.0,41.0,0.0061993604974804,128.0,0.0002299957970742,238.0,64.0,32.0,0.2,valendin,,d
ar_encoding__electronics__ar_bounded_32__d,LSTM,20,0.2754722183287501,0.6346241965088926,0.0871671448860849,23.0,31.0,0.006353284638566,128.0,0.0009436054827949,168.0,128.0,32.0,0.2,valendin,,d
