model,arm,rmse,rmse_customer_total,bias_percent,mape_aggregate,spearman
ValendinLSTM,archive,0.1476444719685595,1.872180128965918,-45.24934113399207,46.12216430418909,0.35701730809604837
ValendinLSTM,archive,0.1470343541846431,1.7822877903902703,-30.262269955915084,32.22269186995807,0.3901373822967449
ValendinLSTM,archive,0.14665602466088012,1.7167879453329524,-8.505805610853859,27.717942108196276,0.36661644392258375
ValendinLSTM,archive,0.14654206688444452,1.7339511359546278,-37.44723018465254,39.87730918486567,0.4090509690765717
ValendinLSTM,archive,0.1471430540242403,1.7735987879659587,-1.193932201320441,25.725857599105197,0.38474540476337543
ValendinLSTM,archive,0.14636869327808338,1.6625561254120214,9.591555926299767,32.327704306318324,0.3896569129914401
ValendinLSTM,archive,0.1473952733883343,1.7159666508946705,-30.544327866227352,37.52902414979023,0.40439121706017955
ValendinLSTM,archive,0.15683272230422246,2.222715118893612,166.83403648824307,169.7485484437902,0.44091868207769214
ValendinLSTM,archive,0.14952544061403855,1.7905442040539383,1.9263846248307017,76.58496080138454,0.4293902372614741
ValendinLSTM,archive,0.14702485021024791,1.754631327910197,-32.0633252508607,37.65804784347892,0.40438540328316913
ValendinLSTM,archive,0.14713849692564518,1.8106247563948803,-29.506597129534985,33.051715677550256,0.40225909298042883
ValendinLSTM,archive,0.14819422250042852,1.9189635516264258,-55.57572626270442,56.863852813397834,0.3301261528007142
ValendinLSTM,archive,0.1471019981485978,1.7682418423575033,-33.913457203745196,41.06701886237157,0.3925657754483101
ValendinLSTM,archive,0.14686805793238772,1.765518312829172,-21.21820660676632,29.053034604106994,0.38264239728070726
ValendinLSTM,archive,0.14643279554937486,1.6853163268545557,-5.020317443570602,24.077308763919483,0.3873098322983018
ValendinLSTM,archive,0.14604975238581752,1.6677132962821437,-12.75382664949126,24.601319467545743,0.4217443319185749
ValendinLSTM,archive,0.14688067167784644,1.757976738588895,-19.598681510998947,32.221900080146504,0.43053316258377733
ValendinLSTM,archive,0.1470882819360432,1.707956947737355,31.54696485627227,39.21345597447561,0.3894537475541421
ValendinLSTM,archive,0.1473718168532372,1.8436170841860218,-41.05752053643586,41.530343669474306,0.40188299792399207
ValendinLSTM,archive,0.14794723851706307,1.8614106121788647,1.4970967706810938,33.05488132535037,0.3633660474267535
ValendinLSTM,paper,0.14685229661567578,1.7130294520169367,20.28575123766885,34.320580187575445,0.4161278339240102
ValendinLSTM,paper,0.1482062242453987,1.7830671685637258,24.201054736666862,62.1192614453548,0.3442736900669276
ValendinLSTM,paper,0.15025936437930526,1.7095130441989248,47.11503883243797,57.788917916362365,0.4209502300523303
ValendinLSTM,paper,0.14892837620279945,1.9090161767199076,30.22480151294102,66.17994738231587,0.3105414950423574
ValendinLSTM,paper,0.1473618713892672,1.7679265887849414,5.780474142684733,33.48918208262655,0.4243259972431357
ValendinLSTM,paper,0.14639700323935675,1.6742257973429118,-3.9701853925487973,32.79973619305446,0.4097087899976622
ValendinLSTM,paper,0.14754250665723104,1.8152423697509892,-28.174143296354675,35.95356251454703,0.36303379009095277
ValendinLSTM,paper,0.14730449989627442,1.81832954633944,-35.53878707948878,41.16464442349895,0.35912321728473623
ValendinLSTM,paper,0.1485780558617464,1.9944627380793991,-56.5102909842514,57.44432781913926,0.19813970223275035
ValendinLSTM,paper,0.1466834216452025,1.719826013168076,-7.2087079044287,24.179683476145907,0.4485223067512167
ValendinLSTM,paper,0.1477136169646217,1.8671839880433991,-44.58443348578608,45.890501989961166,0.38141338293201077
ValendinLSTM,paper,0.14698902353247897,1.7083107471410923,40.457782996449566,44.9327173691959,0.42394740015507293
ValendinLSTM,paper,0.1470009062862413,1.7834845740681835,-30.465436165066535,35.48759952580731,0.3278394163875017
ValendinLSTM,paper,0.14671153553654076,1.6859143164613306,20.82005203856338,37.66807364693055,0.4214137575453955
ValendinLSTM,paper,0.15634545188285034,1.9209528460951413,63.3989439211233,108.420052773474,0.37525330249523753
ValendinLSTM,paper,0.14718524685683285,1.7899896342121644,-38.78548884356429,45.29736188144532,0.3801554658545191
ValendinLSTM,paper,0.1467913030455936,1.7544664982477804,-17.315040425960493,26.427968676180015,0.39664392522615743
ValendinLSTM,paper,0.14809356771002993,1.8256998934933426,-13.71978967536594,48.337203514096416,0.32868375664920185
ValendinLSTM,paper,0.14738579726382003,1.7283110732019435,-21.873351728253965,38.94353599589835,0.3639410149043007
ValendinLSTM,paper,0.1480343256867873,1.8936261896649345,-49.39498749598497,53.28733561580191,0.36807747188267376
ValendinLSTM,floor50,0.14632718592947866,1.681289094079987,-19.71530412429466,30.09788940466537,0.4300092218046244
ValendinLSTM,floor50,0.14731150450337527,1.769038094141217,-40.876517920978756,42.18680801091243,0.3596796676182949
ValendinLSTM,floor50,0.14692233918579053,1.709749247599635,-0.22269203423460288,29.916095037435973,0.4381553899747273
ValendinLSTM,floor50,0.14847393553946447,1.8126604265699886,6.436410821177831,47.96992105498207,0.40193942094016605
ValendinLSTM,floor50,0.14767494719188684,1.7636720823631844,9.446173515317964,31.57651701927336,0.4071438486897197
